"subind","cond_type","groups","ID","N","rt_avg","rt_se","acc_mean","acc_se"
"0_009","active_ns","A_first","0",2,4.401750326155,0.27354824543,0.928571428571429,0.101015254455221
"0_009","active_s","A_first","0",2,3.8382411599175,0.5658547282225,0.8125,0.265165042944955
"0_009","passive_ns","A_first","0",2,4.3607339859025,0.0621800422675003,1,0
"0_009","passive_s","A_first","0",2,5.2002226114275,0.5121735334425,0.6875,0.0883883476483184
"0_013","active_ns","A_first","0",3,4.31094574928333,0.164989201740787,0.875,0
"0_013","active_ns","A_second","0",1,4.021931648255,NA,0.857142857142857,NA
"0_013","active_s","A_first","0",3,4.11509716510833,0.304202704821819,0.75,0.125
"0_013","active_s","A_second","0",1,4.056461453435,NA,0.75,NA
"0_013","passive_ns","A_first","0",3,4.85145660241667,0.0814572729373714,0.791666666666667,0.260208249933267
"0_013","passive_ns","A_second","0",1,4.70250892639,NA,0.875,NA
"0_013","passive_s","A_first","0",3,5.40163306395167,0.435983280888411,0.833333333333333,0.0721687836487032
"0_013","passive_s","A_second","0",1,3.60571694374,NA,0.875,NA
"0_025","active_ns","A_first","0",1,3.124225497245,NA,0.75,NA
"0_025","active_s","A_first","0",1,2.40654087067,NA,0.625,NA
"0_025","passive_ns","A_first","0",1,3.762450098995,NA,0.75,NA
"0_025","passive_s","A_first","0",1,2.59378910065,NA,0.375,NA
"0_026","active_ns","A_second","0",1,4.78851211071,NA,0.5,NA
"0_026","active_s","A_second","0",1,3.82168793678,NA,0.625,NA
"0_026","passive_ns","A_second","0",1,5.0253610611,NA,0.875,NA
"0_026","passive_s","A_second","0",1,4.9526309967,NA,0.625,NA
"0_049","active_ns","A_second","0",3,4.07467782497333,0.197201830580481,0.958333333333333,0.0721687836487032
"0_049","active_s","A_second","0",3,3.39109619458333,0.0552539632205251,0.958333333333333,0.0721687836487032
"0_049","passive_ns","A_second","0",3,4.27516623338,0.167572455888707,0.916666666666667,0.0721687836487032
"0_049","passive_s","A_second","0",3,3.65530653794667,0.147983172309376,0.666666666666667,0.144337567297406
"0_055","active_ns","A_second","0",3,4.9011661609,0.30756772636977,1,0
"0_055","active_s","A_second","0",3,4.411878585815,0.370812741289212,0.416666666666667,0.0721687836487032
"0_055","passive_ns","A_second","0",3,4.74133940537667,0.15125286598642,1,0
"0_055","passive_s","A_second","0",3,5.94921123981333,0.152381711684715,0.5,0.125
"1_001","active_ns","A_first","1",3,4.96949211756333,0.141629469715557,0.916666666666667,0.144337567297406
"1_001","active_ns","A_second","1",2,4.195387244225,0.15500676632,1,0
"1_001","active_s","A_first","1",3,4.33716050783667,0.223208692829151,0.916666666666667,0.144337567297406
"1_001","active_s","A_second","1",2,4.2870266437525,0.0191648006424998,0.8125,0.0883883476483184
"1_001","passive_ns","A_first","1",3,5.43411461512333,0.128910648466412,1,0
"1_001","passive_ns","A_second","1",2,4.8727476000775,0.0617629885675002,1,0
"1_001","passive_s","A_first","1",3,5.59910543759667,0.448786883867754,0.625,0.25
