"subind","cond_type","groups","city","sense","active","ID","subtype","N","rt_mean","acc_mean"
"0_009","active_ns","A_first","austin","nonsense","active","0","i",3,4.30082885424333,0.910714285714286
"0_009","active_s","A_first","austin","sense","active","0","i",3,3.82103876272833,0.75
"0_009","passive_ns","A_first","austin","nonsense","passive","0","i",3,4.386631011965,0.958333333333333
"0_009","passive_s","A_first","austin","sense","passive","0","i",3,4.813727060955,0.75
"0_013","active_ns","A_first","austin","nonsense","active","0","i",3,4.31094574928333,0.875
"0_013","active_ns","A_second","austin","nonsense","active","0","i",3,4.56639901797167,0.875
"0_013","active_ns","A_third","austin","nonsense","active","0","i",3,4.95647207895667,0.875
"0_013","active_s","A_first","austin","sense","active","0","i",3,4.11509716510833,0.75
"0_013","active_s","A_second","austin","sense","active","0","i",3,4.20567913850167,0.738095238095238
"0_013","active_s","A_third","austin","sense","active","0","i",3,3.35717888673333,0.875
"0_013","passive_ns","A_first","austin","nonsense","passive","0","i",3,4.85145660241667,0.791666666666667
"0_013","passive_ns","A_second","austin","nonsense","passive","0","i",3,4.84041595458833,0.916666666666667
"0_013","passive_ns","A_third","austin","nonsense","passive","0","i",3,3.86394302050167,0.916666666666667
"0_013","passive_s","A_first","austin","sense","passive","0","i",3,5.40163306395167,0.833333333333333
"0_013","passive_s","A_second","austin","sense","passive","0","i",3,4.0392584006,0.875
"0_013","passive_s","A_third","austin","sense","passive","0","i",3,4.25287922223667,0.833333333333333
"0_025","active_ns","A_first","austin","nonsense","active","0","i",2,3.319827497005,0.875
"0_025","active_s","A_first","austin","sense","active","0","i",2,2.491582989695,0.75
"0_025","passive_ns","A_first","austin","nonsense","passive","0","i",2,4.3584650158925,0.8125
"0_025","passive_s","A_first","austin","sense","passive","0","i",2,2.836378574375,0.5
"0_026","active_ns","A_second","austin","nonsense","active","0","i",1,4.78851211071,0.5
"0_026","active_s","A_second","austin","sense","active","0","i",1,3.82168793678,0.625
"0_026","passive_ns","A_second","austin","nonsense","passive","0","i",1,5.0253610611,0.875
"0_026","passive_s","A_second","austin","sense","passive","0","i",1,4.9526309967,0.625
"0_049","active_ns","A_second","austin","nonsense","active","0","i",3,4.07467782497333,0.958333333333333
"0_049","active_s","A_second","austin","sense","active","0","i",3,3.39109619458333,0.958333333333333
"0_049","passive_ns","A_second","austin","nonsense","passive","0","i",3,4.27516623338,0.916666666666667
"0_049","passive_s","A_second","austin","sense","passive","0","i",3,3.65530653794667,0.666666666666667
"0_055","active_ns","A_second","austin","nonsense","active","0","i",3,4.9011661609,1
"0_055","active_s","A_second","austin","sense","active","0","i",3,4.411878585815,0.416666666666667
"0_055","passive_ns","A_second","austin","nonsense","passive","0","i",3,4.74133940537667,1
"0_055","passive_s","A_second","austin","sense","passive","0","i",3,5.94921123981333,0.5
"1_001","active_ns","A_first","austin","nonsense","active","1","i",3,4.96949211756333,0.916666666666667
"1_001","active_ns","A_second","austin","nonsense","active","1","i",3,4.38084733486167,1
"1_001","active_ns","A_third","austin","nonsense","active","1","i",3,3.547692577045,0.958333333333333
"1_001","active_s","A_first","austin","sense","active","1","i",3,4.33716050783667,0.916666666666667
"1_001","active_s","A_second","austin","sense","active","1","i",3,4.47017896175333,0.791666666666667
"1_001","active_s","A_third","austin","sense","active","1","i",3,3.73459939162,0.958333333333333
"1_001","passive_ns","A_first","austin","nonsense","passive","1","i",3,5.43411461512333,1
"1_001","passive_ns","A_second","austin","nonsense","passive","1","i",3,5.201694925625,1
"1_001","passive_ns","A_third","austin","nonsense","passive","1","i",3,4.39793495337167,1
"1_001","passive_s","A_first","austin","sense","passive","1","i",3,5.59910543759667,0.625
"1_001","passive_s","A_second","austin","sense","passive","1","i",3,4.69415366649667,0.791666666666667
"1_001","passive_s","A_third","austin","sense","passive","1","i",3,3.83767064412667,0.833333333333333
"1_002","active_ns","A_first","austin","nonsense","active","1","i",3,4.123005946475,0.833333333333333
"1_002","active_s","A_first","austin","sense","active","1","i",3,4.25100870927167,0.791666666666667
"1_002","passive_ns","A_first","austin","nonsense","passive","1","i",3,4.85310685634333,0.791666666666667
"1_002","passive_s","A_first","austin","sense","passive","1","i",3,3.93078613281167,0.666666666666667
"1_004","active_ns","A_first","austin","nonsense","active","1","i",3,5.37471985817333,0.833333333333333
"1_004","active_ns","A_second","austin","nonsense","active","1","i",3,4.76118385791833,0.833333333333333
"1_004","active_ns","A_third","austin","nonsense","active","1","i",3,5.45690464973167,0.875
"1_004","active_s","A_first","austin","sense","active","1","i",3,5.724680026375,0.666666666666667
"1_004","active_s","A_second","austin","sense","active","1","i",3,5.73807613055,0.833333333333333
"1_004","active_s","A_third","austin","sense","active","1","i",3,5.17655853430667,0.958333333333333
"1_004","passive_ns","A_first","austin","nonsense","passive","1","i",3,5.82738137245,0.625
"1_004","passive_ns","A_second","austin","nonsense","passive","1","i",3,5.78699318568,0.916666666666667
"1_004","passive_ns","A_third","austin","nonsense","passive","1","i",3,5.96737241745,0.666666666666667
"1_004","passive_s","A_first","austin","sense","passive","1","i",3,5.72554568449833,0.666666666666667
"1_004","passive_s","A_second","austin","sense","passive","1","i",3,5.81694682439167,0.75
"1_004","passive_s","A_third","austin","sense","passive","1","i",3,6.42443867524333,0.833333333333333
"1_007","active_ns","A_first","austin","nonsense","active","1","i",2,4.9812362194075,0.9375
"1_007","active_ns","A_third","austin","nonsense","active","1","i",3,4.74104205767333,0.958333333333333
"1_007","active_s","A_first","austin","sense","active","1","i",2,4.96810352802,0.8125
"1_007","active_s","A_third","austin","sense","active","1","i",3,3.67267715931,0.916666666666667
"1_007","passive_ns","A_first","austin","nonsense","passive","1","i",2,5.46548575163,0.9375
"1_007","passive_ns","A_third","austin","nonsense","passive","1","i",3,4.42358084519667,0.916666666666667
"1_007","passive_s","A_first","austin","sense","passive","1","i",2,5.6111900210375,0.8125
"1_007","passive_s","A_third","austin","sense","passive","1","i",3,4.16678146521167,0.791666666666667
"1_015","active_ns","A_first","austin","nonsense","active","1","i",2,6.722594201565,1
"1_015","active_ns","A_second","austin","nonsense","active","1","i",3,6.65707695484333,0.916666666666667
"1_015","active_s","A_first","austin","sense","active","1","i",2,5.81490945816,0.5625
"1_015","active_s","A_second","austin","sense","active","1","i",3,5.60912688573167,0.625
"1_015","passive_ns","A_first","austin","nonsense","passive","1","i",2,6.7630852460875,0.9375
"1_015","passive_ns","A_second","austin","nonsense","passive","1","i",3,6.62912539640833,0.875
"1_015","passive_s","A_first","austin","sense","passive","1","i",2,6.6527672409975,0.4375
"1_015","passive_s","A_second","austin","sense","passive","1","i",3,6.33353900909333,0.541666666666667
"1_020","active_ns","A_first","austin","nonsense","active","1","i",2,6.0112532377225,0.5625
"1_020","active_ns","A_second","austin","nonsense","active","1","i",3,4.318310340245,1
"1_020","active_s","A_first","austin","sense","active","1","i",2,4.528674960135,0.75
"1_020","active_s","A_second","austin","sense","active","1","i",3,4.74732685089,0.75
"1_020","passive_ns","A_first","austin","nonsense","passive","1","i",2,5.70072180033,0.8125
"1_020","passive_ns","A_second","austin","nonsense","passive","1","i",3,4.76724270979667,0.958333333333333
