"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"0_009","A_first","1",1,"active_ns",7,4.128202080725,0.857142857142857,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_009","A_first","1",1,"active_s",8,3.272386431695,1,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_firstsense","0"
"0_009","A_first","1",1,"passive_ns",8,4.298553943635,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
"0_009","A_first","1",1,"passive_s",8,5.71239614487,0.625,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_firstsense","0"
"0_009","A_first","2",1,"active_ns",8,4.675298571585,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_009","A_first","2",1,"active_s",8,4.40409588814,0.625,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_firstsense","0"
"0_009","A_first","2",1,"passive_ns",8,4.42291402817,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
"0_009","A_first","2",1,"passive_s",8,4.688049077985,0.75,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_firstsense","0"
"0_013","A_first","1",1,"active_ns",8,4.63672018051,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_013","A_first","1",1,"active_s",8,3.50798296928,0.875,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_firstsense","0"
"0_013","A_first","1",1,"passive_ns",8,5.013684153555,1,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
"0_013","A_first","1",1,"passive_s",8,5.42708206177,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_firstsense","0"
"0_013","A_first","2",1,"active_ns",8,4.19352912903,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_013","A_first","2",1,"active_s",8,4.38434505463,0.625,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_firstsense","0"
"0_013","A_first","2",1,"passive_ns",8,4.757399559025,0.5,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
"0_013","A_first","2",1,"passive_s",8,6.14373207092,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_firstsense","0"
"0_013","A_first","3",1,"active_ns",8,4.10258793831,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_013","A_first","3",1,"active_s",8,4.452963471415,0.75,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_firstsense","0"
"0_013","A_first","3",1,"passive_ns",8,4.78328609467,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
"0_013","A_first","3",1,"passive_s",8,4.634085059165,0.75,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_firstsense","0"
"0_013","A_second","3",1,"active_ns",7,4.021931648255,0.857142857142857,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_013","A_second","3",1,"active_s",8,4.056461453435,0.75,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_secondsense","0"
"0_013","A_second","3",1,"passive_ns",8,4.70250892639,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_013","A_second","3",1,"passive_s",8,3.60571694374,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_secondsense","0"
"0_013","A_third","1",1,"active_ns",8,4.41817116737,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","0"
"0_013","A_third","1",1,"active_s",7,3.50642514229,1,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_thirdsense","0"
"0_013","A_third","1",1,"passive_ns",8,3.989727020265,1,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","0"
"0_013","A_third","1",1,"passive_s",8,4.20945811272,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_thirdsense","0"
"0_013","A_third","2",1,"active_ns",8,5.60380911827,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","0"
"0_013","A_third","2",1,"active_s",8,3.30904698372,0.625,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_thirdsense","0"
"0_013","A_third","2",1,"passive_ns",8,3.25174808502,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","0"
"0_013","A_third","2",1,"passive_s",8,3.92163848877,0.75,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_thirdsense","0"
"0_013","A_third","3",1,"active_ns",8,4.84743595123,0.875,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","0"
"0_013","A_third","3",1,"active_s",8,3.25606453419,1,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_thirdsense","0"
"0_013","A_third","3",1,"passive_ns",8,4.35035395622,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","0"
"0_013","A_third","3",1,"passive_s",8,4.62754106522,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_thirdsense","0"
"0_025","A_first","1",1,"active_ns",8,3.124225497245,0.75,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_firstnonsense","0"
"0_025","A_first","1",1,"active_s",8,2.40654087067,0.625,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_firstsense","0"
"0_025","A_first","1",1,"passive_ns",8,3.762450098995,0.75,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_firstnonsense","0"
