"Sentence","cond_type","Resp","N"
"A basement won the family.","active_ns","nonsense",43
"A basement won the family.","active_ns","sense",5
"A basement won the family.","active_ns",NA,2
"A bird dropped the worm.","active_s","nonsense",3
"A bird dropped the worm.","active_s","sense",52
"A bird dropped the worm.","active_s",NA,1
"A cat was saved by a king.","passive_s","nonsense",13
"A cat was saved by a king.","passive_s","sense",34
"A cat was saved by a king.","passive_s",NA,3
"A chair was tasted by a frame.","passive_ns","nonsense",51
"A chair was tasted by a frame.","passive_ns",NA,1
"A cup was cut by the pillow.","passive_ns","nonsense",48
"A cup was cut by the pillow.","passive_ns","sense",3
"A cup was cut by the pillow.","passive_ns",NA,2
"A fence walked to the mother.","active_ns","nonsense",44
"A fence walked to the mother.","active_ns","sense",11
"A fence walked to the mother.","active_ns",NA,2
"A fly entered the house.","active_s","nonsense",8
"A fly entered the house.","active_s","sense",43
"A fly entered the house.","active_s",NA,1
"A hen carried the dancer.","active_ns","nonsense",63
"A hen carried the dancer.","active_ns","sense",4
"A joke hugged the dragon.","active_ns","nonsense",46
"A joke hugged the dragon.","active_ns","sense",2
"A mouse chewed on the cheese.","active_s","nonsense",1
"A mouse chewed on the cheese.","active_s","sense",53
"A phone was used by a doctor.","passive_s","nonsense",5
"A phone was used by a doctor.","passive_s","sense",43
"A phone was used by a doctor.","passive_s",NA,1
"A rope was sold by the frog.","passive_ns","nonsense",54
"A rope was sold by the frog.","passive_ns","sense",3
"A rope was sold by the frog.","passive_ns",NA,1
"A rug was rolled by the actor.","passive_s","nonsense",13
"A rug was rolled by the actor.","passive_s","sense",35
"A rug was rolled by the actor.","passive_s",NA,2
"A tiger scared the zebra.","active_s","nonsense",5
"A tiger scared the zebra.","active_s","sense",55
"A tiger scared the zebra.","active_s",NA,1
"Bread was scratched by a tray.","passive_ns","nonsense",49
"Bread was scratched by a tray.","passive_ns","sense",8
"Bread was scratched by a tray.","passive_ns",NA,2
"Fire was licked by a banana.","passive_ns","nonsense",64
"Fire was licked by a banana.","passive_ns","sense",4
"Pasta was waved by a fish.","passive_ns","nonsense",45
"Pasta was waved by a fish.","passive_ns","sense",1
"Pasta was waved by a fish.","passive_ns",NA,2
"Pie was raised by the letter.","passive_ns","nonsense",55
"Pie was raised by the letter.","passive_ns","sense",12
"Pie was raised by the letter.","passive_ns",NA,1
"Pizza was cooked by the man.","passive_s","nonsense",2
"Pizza was cooked by the man.","passive_s","sense",49
"Pizza was cooked by the man.","passive_s",NA,2
"Soup was served by a woman.","passive_s","nonsense",5
"Soup was served by a woman.","passive_s","sense",47
"The banker counted the money.","active_s","nonsense",5
"The banker counted the money.","active_s","sense",53
"The banker counted the money.","active_s",NA,1
"The boy cleared off the table.","active_s","nonsense",3
"The boy cleared off the table.","active_s","sense",49
"The couch sang to the duck.","active_ns","nonsense",45
"The couch sang to the duck.","active_ns","sense",5
"The ear dressed a student.","active_ns","nonsense",45
"The ear dressed a student.","active_ns","sense",3
"The ear dressed a student.","active_ns",NA,2
"The girl was told by a fork.","passive_ns","nonsense",51
"The girl was told by a fork.","passive_ns","sense",4
"The girl was told by a fork.","passive_ns",NA,3
"The iron borrowed a teacher.","active_ns","nonsense",56
"The iron borrowed a teacher.","active_ns","sense",2
"The iron borrowed a teacher.","active_ns",NA,2
"The lamp was bought by the sister.","passive_s","nonsense",6
"The lamp was bought by the sister.","passive_s","sense",44
"The lamp was bought by the sister.","passive_s",NA,7
"The queen planted a flower.","active_s","nonsense",2
"The queen planted a flower.","active_s","sense",56
