"subind","first","runnum","N","rt_median","acc_avg","groups"
"0_009",1,"1",31,4.16658091545,0.870967741935484,"A_first"
"0_009",1,"2",32,4.57489895821,0.84375,"A_first"
"0_013",1,"1",32,4.99685001373,0.90625,"A_first"
"0_013",1,"2",32,4.80496692657,0.71875,"A_first"
"0_013",1,"3",32,4.452963471415,0.8125,"A_first"
"0_025",1,"1",32,3.124225497245,0.625,"A_first"
"1_001",1,"1",32,4.81394290924,0.84375,"A_first"
"1_001",1,"2",32,4.93800902367,0.84375,"A_first"
"1_001",1,"3",32,5.01822900772,0.90625,"A_first"
"1_002",1,"2",32,4.27286696434,0.84375,"A_first"
"1_002",1,"3",32,4.738082528115,0.8125,"A_first"
"1_004",1,"1",32,5.50059604645,0.625,"A_first"
"1_004",1,"2",32,5.89537620544,0.71875,"A_first"
"1_004",1,"3",32,5.4914201498,0.75,"A_first"
"1_007",1,"2",32,5.19178903103,0.9375,"A_first"
"1_007",1,"3",32,5.00544214249,0.8125,"A_first"
"1_015",1,"1",32,6.33228492737,0.75,"A_first"
"1_015",1,"3",32,6.20031499863,0.71875,"A_first"
"1_020",1,"1",32,4.87102854252,0.75,"A_first"
"1_020",1,"3",32,5.5738710165,0.75,"A_first"
"1_028",1,"1",32,4.70494103432,0.78125,"A_first"
"1_028",1,"2",32,4.542091846465,0.875,"A_first"
"2_008",1,"1",32,4.46339392662,1,"A_first"
"2_008",1,"2",32,4.09708094597,0.9375,"A_first"
"2_008",1,"3",32,4.11136817932,0.78125,"A_first"
"2_010",1,"1",32,4.64021587372,0.90625,"A_first"
"2_010",1,"2",32,4.66034138203,0.75,"A_first"
"2_010",1,"3",32,4.35620307922,0.84375,"A_first"
"2_011",1,"1",32,4.83255648613,0.75,"A_first"
"2_011",1,"2",32,4.17177915573,0.65625,"A_first"
"2_027",1,"1",32,4.01436090469,0.84375,"A_first"
"2_027",1,"2",32,3.90856289864,0.90625,"A_first"
"2_027",1,"3",32,3.490700125695,0.75,"A_first"
"2_031",1,"1",32,3.407541036605,0.875,"A_first"
"2_031",1,"2",32,3.33273482323,0.84375,"A_first"
"2_031",1,"3",32,3.07841610909,0.90625,"A_first"
"0_013_second",1,"3",31,4.12705051899,0.838709677419355,"A_second"
"0_026_second",1,"1",32,4.9476351738,0.65625,"A_second"
"0_049_second",1,"1",32,4.43957996368,0.90625,"A_second"
"0_049_second",1,"2",32,3.68832397461,0.90625,"A_second"
"0_049_second",1,"3",32,3.883875489235,0.8125,"A_second"
"0_055_second",1,"1",32,4.88632106781,0.78125,"A_second"
