"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"0_009","1",1,"active_ns",7,4.128202080725,0.857142857142857,"A_first"
"0_009","1",1,"active_s",8,3.272386431695,1,"A_first"
"0_009","1",1,"passive_ns",8,4.298553943635,1,"A_first"
"0_009","1",1,"passive_s",8,5.71239614487,0.625,"A_first"
"0_009","2",1,"active_ns",8,4.675298571585,1,"A_first"
"0_009","2",1,"active_s",8,4.40409588814,0.625,"A_first"
"0_009","2",1,"passive_ns",8,4.42291402817,1,"A_first"
"0_009","2",1,"passive_s",8,4.688049077985,0.75,"A_first"
"0_013","1",1,"active_ns",8,4.63672018051,0.875,"A_first"
"0_013","1",1,"active_s",8,3.50798296928,0.875,"A_first"
"0_013","1",1,"passive_ns",8,5.013684153555,1,"A_first"
"0_013","1",1,"passive_s",8,5.42708206177,0.875,"A_first"
"0_013","2",1,"active_ns",8,4.19352912903,0.875,"A_first"
"0_013","2",1,"active_s",8,4.38434505463,0.625,"A_first"
"0_013","2",1,"passive_ns",8,4.757399559025,0.5,"A_first"
"0_013","2",1,"passive_s",8,6.14373207092,0.875,"A_first"
"0_013","3",1,"active_ns",8,4.10258793831,0.875,"A_first"
"0_013","3",1,"active_s",8,4.452963471415,0.75,"A_first"
"0_013","3",1,"passive_ns",8,4.78328609467,0.875,"A_first"
"0_013","3",1,"passive_s",8,4.634085059165,0.75,"A_first"
"0_025","1",1,"active_ns",8,3.124225497245,0.75,"A_first"
"0_025","1",1,"active_s",8,2.40654087067,0.625,"A_first"
"0_025","1",1,"passive_ns",8,3.762450098995,0.75,"A_first"
"0_025","1",1,"passive_s",8,2.59378910065,0.375,"A_first"
"1_001","1",1,"active_ns",8,4.68985581398,0.75,"A_first"
"1_001","1",1,"active_s",8,4.782334446905,0.75,"A_first"
"1_001","1",1,"passive_ns",8,5.64065897465,1,"A_first"
"1_001","1",1,"passive_s",8,5.68287420273,0.875,"A_first"
"1_001","2",1,"active_ns",8,5.14841747284,1,"A_first"
"1_001","2",1,"active_s",8,4.085738062855,1,"A_first"
"1_001","2",1,"passive_ns",8,5.46447789669,1,"A_first"
"1_001","2",1,"passive_s",8,4.78329205513,0.375,"A_first"
"1_001","3",1,"active_ns",8,5.07020306587,1,"A_first"
"1_001","3",1,"active_s",8,4.14340901375,1,"A_first"
"1_001","3",1,"passive_ns",8,5.19720697403,1,"A_first"
"1_001","3",1,"passive_s",8,6.33115005493,0.625,"A_first"
"1_002","2",1,"active_ns",8,4.165267944335,1,"A_first"
"1_002","2",1,"active_s",8,3.4961669445,0.875,"A_first"
"1_002","2",1,"passive_ns",8,5.03801047802,0.75,"A_first"
"1_002","2",1,"passive_s",8,3.67244040966,0.75,"A_first"
"1_002","3",1,"active_ns",8,4.32948708534,0.625,"A_first"
"1_002","3",1,"active_s",8,4.94821608067,1,"A_first"
"1_002","3",1,"passive_ns",8,5.24784302711,0.875,"A_first"
"1_002","3",1,"passive_s",8,4.2258695364,0.75,"A_first"
"1_004","1",1,"active_ns",8,5.59419846535,0.75,"A_first"
"1_004","1",1,"active_s",8,5.994878053665,0.25,"A_first"
"1_004","1",1,"passive_ns",8,5.07044291496,0.625,"A_first"
"1_004","1",1,"passive_s",8,5.67869496346,0.875,"A_first"
"1_004","2",1,"active_ns",8,5.63235521317,0.875,"A_first"
"1_004","2",1,"active_s",8,6.20779204369,0.875,"A_first"
"1_004","2",1,"passive_ns",8,5.812121152875,0.75,"A_first"
"1_004","2",1,"passive_s",8,5.89725804329,0.375,"A_first"
"1_004","3",1,"active_ns",8,4.897605896,0.875,"A_first"
"1_004","3",1,"active_s",8,4.97136998177,0.875,"A_first"
"1_004","3",1,"passive_ns",8,6.599580049515,0.5,"A_first"
"1_004","3",1,"passive_s",8,5.600684046745,0.75,"A_first"
"1_007","2",1,"active_ns",8,4.25608491898,0.875,"A_first"
"1_007","2",1,"active_s",8,5.88048291206,0.875,"A_first"
"1_007","2",1,"passive_ns",8,6.06980240345,1,"A_first"
"1_007","2",1,"passive_s",8,5.320567011835,1,"A_first"
"1_007","3",1,"active_ns",8,5.706387519835,1,"A_first"
"1_007","3",1,"active_s",8,4.05572414398,0.75,"A_first"
"1_007","3",1,"passive_ns",8,4.86116909981,0.875,"A_first"
"1_007","3",1,"passive_s",8,5.90181303024,0.625,"A_first"
"1_015","1",1,"active_ns",8,6.60971391201,1,"A_first"
"1_015","1",1,"active_s",8,5.45632195473,0.75,"A_first"
"1_015","1",1,"passive_ns",8,7.51840400696,0.875,"A_first"
"1_015","1",1,"passive_s",8,7.26346302032,0.375,"A_first"
"1_015","3",1,"active_ns",8,6.83547449112,1,"A_first"
"1_015","3",1,"active_s",8,6.17349696159,0.375,"A_first"
"1_015","3",1,"passive_ns",8,6.007766485215,1,"A_first"
"1_015","3",1,"passive_s",8,6.042071461675,0.5,"A_first"
"1_020","1",1,"active_ns",8,5.470799446105,0.5,"A_first"
"1_020","1",1,"active_s",8,4.29697990417,0.875,"A_first"
"1_020","1",1,"passive_ns",8,5.27102148533,0.75,"A_first"
"1_020","1",1,"passive_s",8,4.59358119965,0.875,"A_first"
"1_020","3",1,"active_ns",8,6.55170702934,0.625,"A_first"
"1_020","3",1,"active_s",8,4.7603700161,0.625,"A_first"
"1_020","3",1,"passive_ns",8,6.13042211533,0.875,"A_first"
"1_020","3",1,"passive_s",8,5.1278488636,0.875,"A_first"
"1_028","1",1,"active_ns",8,4.193158984185,1,"A_first"
"1_028","1",1,"active_s",8,5.650389552115,0.75,"A_first"
"1_028","1",1,"passive_ns",8,4.76607608795,0.875,"A_first"
"1_028","1",1,"passive_s",8,5.33831000328,0.5,"A_first"
