"subind","runnum","cond_type","group","N","rt_median","acc_avg"
"ldrc_0_009","1","active_ns","A_first",8,4.06914615631,0.875
"ldrc_0_009","1","active_s","A_first",8,3.272386431695,1
"ldrc_0_009","1","passive_ns","A_first",8,4.298553943635,1
"ldrc_0_009","1","passive_s","A_first",8,5.71239614487,0.625
"ldrc_0_009","2","active_ns","A_first",8,4.675298571585,1
"ldrc_0_009","2","active_s","A_first",8,4.40409588814,0.625
"ldrc_0_009","2","passive_ns","A_first",8,4.42291402817,1
"ldrc_0_009","2","passive_s","A_first",8,4.688049077985,0.75
"ldrc_0_013","1","active_ns","A_first",8,4.63672018051,0.875
"ldrc_0_013","1","active_s","A_first",8,3.50798296928,0.875
"ldrc_0_013","1","passive_ns","A_first",8,5.013684153555,1
"ldrc_0_013","1","passive_s","A_first",8,5.42708206177,0.875
"ldrc_0_013","2","active_ns","A_first",8,4.19352912903,0.875
"ldrc_0_013","2","active_s","A_first",8,4.38434505463,0.625
"ldrc_0_013","2","passive_ns","A_first",8,4.757399559025,0.5
"ldrc_0_013","2","passive_s","A_first",8,6.14373207092,0.875
"ldrc_0_013","3","active_ns","A_first",8,4.10258793831,0.875
"ldrc_0_013","3","active_s","A_first",8,4.452963471415,0.75
"ldrc_0_013","3","passive_ns","A_first",8,4.78328609467,0.875
"ldrc_0_013","3","passive_s","A_first",8,4.634085059165,0.75
"ldrc_0_018","1","active_ns","A_first",8,4.15076601505,1
"ldrc_0_018","1","active_s","A_first",8,4.40786409378,0.625
"ldrc_0_018","1","passive_ns","A_first",8,4.280141592025,1
"ldrc_0_018","1","passive_s","A_first",8,3.62466394901,0.5
"ldrc_0_018","2","active_ns","A_first",8,4.36676204205,1
"ldrc_0_018","2","active_s","A_first",8,4.262991070745,0.75
"ldrc_0_018","2","passive_ns","A_first",8,5.102694034575,1
"ldrc_0_018","2","passive_s","A_first",8,4.40212607384,0.625
"ldrc_0_018","3","active_ns","A_first",8,4.53246951103,1
"ldrc_0_018","3","active_s","A_first",8,4.26067590714,0.875
"ldrc_0_018","3","passive_ns","A_first",8,5.482008457185,1
"ldrc_0_018","3","passive_s","A_first",8,4.39264822006,0.875
"ldrc_0_025","1","active_ns","A_first",8,3.124225497245,0.75
"ldrc_0_025","1","active_s","A_first",8,2.40654087067,0.625
"ldrc_0_025","1","passive_ns","A_first",8,3.762450098995,0.75
"ldrc_0_025","1","passive_s","A_first",8,2.59378910065,0.375
"ldrc_0_057","1","active_ns","A_first",8,4.37192606926,1
"ldrc_0_057","1","active_s","A_first",8,3.81357491016,0.75
"ldrc_0_057","1","passive_ns","A_first",8,3.64910161495,1
"ldrc_0_057","1","passive_s","A_first",8,4.54701447487,0.75
"ldrc_0_057","3","active_ns","A_first",8,3.75481295586,0.875
"ldrc_0_057","3","active_s","A_first",8,3.41964352131,1
"ldrc_0_057","3","passive_ns","A_first",8,3.6338160038,0.875
"ldrc_0_057","3","passive_s","A_first",8,3.41603398323,0.875
"ldrc_1_001","1","active_ns","A_first",8,4.68985581398,0.75
"ldrc_1_001","1","active_s","A_first",8,4.782334446905,0.75
"ldrc_1_001","1","passive_ns","A_first",8,5.64065897465,1
"ldrc_1_001","1","passive_s","A_first",8,5.68287420273,0.875
"ldrc_1_001","2","active_ns","A_first",8,5.14841747284,1
"ldrc_1_001","2","active_s","A_first",8,4.085738062855,1
"ldrc_1_001","2","passive_ns","A_first",8,5.46447789669,1
"ldrc_1_001","2","passive_s","A_first",8,4.78329205513,0.375
"ldrc_1_001","3","active_ns","A_first",8,5.07020306587,1
"ldrc_1_001","3","active_s","A_first",8,4.14340901375,1
"ldrc_1_001","3","passive_ns","A_first",8,5.19720697403,1
"ldrc_1_001","3","passive_s","A_first",8,6.33115005493,0.625
"ldrc_1_002","2","active_ns","A_first",8,4.165267944335,1
"ldrc_1_002","2","active_s","A_first",8,3.4961669445,0.875
"ldrc_1_002","2","passive_ns","A_first",8,5.03801047802,0.75
"ldrc_1_002","2","passive_s","A_first",8,3.67244040966,0.75
"ldrc_1_002","3","active_ns","A_first",8,4.32948708534,0.625
"ldrc_1_002","3","active_s","A_first",8,4.94821608067,1
"ldrc_1_002","3","passive_ns","A_first",8,5.24784302711,0.875
"ldrc_1_002","3","passive_s","A_first",8,4.2258695364,0.75
"ldrc_1_004","1","active_ns","A_first",8,5.59419846535,0.75
"ldrc_1_004","1","active_s","A_first",8,5.994878053665,0.25
"ldrc_1_004","1","passive_ns","A_first",8,5.07044291496,0.625
"ldrc_1_004","1","passive_s","A_first",8,5.67869496346,0.875
"ldrc_1_004","2","active_ns","A_first",8,5.63235521317,0.875
"ldrc_1_004","2","active_s","A_first",8,6.20779204369,0.875
"ldrc_1_004","2","passive_ns","A_first",8,5.812121152875,0.75
"ldrc_1_004","2","passive_s","A_first",8,5.89725804329,0.375
"ldrc_1_004","3","active_ns","A_first",8,4.897605896,0.875
"ldrc_1_004","3","active_s","A_first",8,4.97136998177,0.875
"ldrc_1_004","3","passive_ns","A_first",8,6.599580049515,0.5
"ldrc_1_004","3","passive_s","A_first",8,5.600684046745,0.75
"ldrc_1_007","2","active_ns","A_first",8,4.25608491898,0.875
"ldrc_1_007","2","active_s","A_first",8,5.88048291206,0.875
"ldrc_1_007","2","passive_ns","A_first",8,6.06980240345,1
"ldrc_1_007","2","passive_s","A_first",8,5.320567011835,1
"ldrc_1_007","3","active_ns","A_first",8,5.706387519835,1
"ldrc_1_007","3","active_s","A_first",8,4.05572414398,0.75
"ldrc_1_007","3","passive_ns","A_first",8,4.86116909981,0.875
"ldrc_1_007","3","passive_s","A_first",8,5.90181303024,0.625
"ldrc_1_015","1","active_ns","A_first",8,6.60971391201,1
"ldrc_1_015","1","active_s","A_first",8,5.45632195473,0.75
"ldrc_1_015","1","passive_ns","A_first",8,7.51840400696,0.875
"ldrc_1_015","1","passive_s","A_first",8,7.26346302032,0.375
"ldrc_1_015","3","active_ns","A_first",8,6.83547449112,1
