"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.909166666666666,0.02444953559761,166,37.1854370418201,2.06969375499211e-82
"cond_typeactive_s",0.00916666666666684,0.0306128201294249,166,0.299438817721203,0.764979832048007
"cond_typepassive_ns",-0.00166666666666668,0.0306128201294248,166,-0.0544434214038548,0.956647352825269
"cond_typepassive_s",-0.0599999999999999,0.0306128201294249,166,-1.95996317053875,0.0516743167422883
"groupsA_first",-0.0524833721301099,0.0395339311777988,166,-1.32755257487733,0.186148734462749
"groupsA_second",0.00405028552233939,0.0388172808152304,166,0.104342329943684,0.91702364865303
"cond_typeactive_s:groupsA_first",-0.0794047619047617,0.0499905259364617,166,-1.58839620942748,0.114099624885658
"cond_typepassive_ns:groupsA_first",-0.0199603174603171,0.0499905259364617,166,-0.399282005668171,0.690198641322905
"cond_typepassive_s:groupsA_first",-0.106071428571428,0.0499905259364617,166,-2.12183061859052,0.0353360119575372
"cond_typeactive_s:groupsA_second",-0.170811011904762,0.0490044226367231,166,-3.48562441335161,0.000628208617746312
"cond_typepassive_ns:groupsA_second",0.0171056547619044,0.049004422636723,166,0.349063489406071,0.727484018603149
"cond_typepassive_s:groupsA_second",-0.177165178571429,0.0490044226367231,166,-3.61528958079519,0.00039755049739558
