"subind","runnum","TrialNum","Sentence","N","order"
"0_009","1",0,"A fence walked to the mother.",1,"SC_L3_O2"
"0_009","2",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"0_009","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"0_013","1",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"0_013","2",0,"The child peeled the banana.",1,"SC_L6_O3"
"0_013","3",0,"The house chewed on the phone.",1,"SC_L5_O2"
"0_013_second","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"0_013_second","2",0,"A woman bought a pizza.",1,"SC_L4_O3"
"0_013_second","3",0,"The money counted the singer.",1,"SC_L6_O2"
"0_025","1",0,"A test was cooked by a bat.",2,"SC_L4_O1"
"0_025","2",0,"The money counted the singer.",2,"SC_L6_O2"
"0_026_second","1",0,"The child peeled the banana.",12,"SC_L6_O3"
"0_049_second","1",0,"The child peeled the banana.",1,"SC_L6_O3"
"0_049_second","2",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"0_049_second","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"0_055_second","1",0,"A plate stained a kitten.",1,"SC_L4_O2"
"0_055_second","2",0,"The friend borrowed a book.",1,"SC_L5_O3"
"0_055_second","3",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"1_001","1",0,"The money counted the singer.",1,"SC_L6_O2"
"1_001","2",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"1_001","3",0,"A woman bought a pizza.",1,"SC_L4_O3"
"1_001_second","1",0,"A fence walked to the mother.",1,"SC_L3_O2"
"1_001_second","2",0,"A hand was built by the ant.",1,"SC_L2_O1"
"1_001_second","3",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"1_002","1",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"1_002","2",0,"A pillow scratched the fish.",2,"SC_L2_O2"
"1_002","3",0,"A bird dropped the worm.",1,"SC_L3_O3"
"1_004","1",0,"The soup was caught by a ring.",2,"SC_L1_O1"
"1_004","2",0,"A bird dropped the worm.",1,"SC_L3_O3"
"1_004","3",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"1_004_second","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"1_004_second","2",0,"The child peeled the banana.",1,"SC_L6_O3"
"1_004_second","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"1_007","2",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"1_007","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"1_015","1",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"1_015","3",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"1_015_second","1",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"1_015_second","2",0,"A fence walked to the mother.",1,"SC_L3_O2"
"1_015_second","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"1_020","1",0,"A hand was built by the ant.",1,"SC_L2_O1"
