"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.913736979166667,0.0150682421801202,26,60.6399185946304,1.56620865127011e-29
"cityHouston",-0.0283203125,0.0230171201267758,26,-1.23040208088652,0.22956285969056
"(Intercept)",0.913736979166667,0.0134577664321153,27,67.896629338591,1.02964767809437e-31
"groupsA_first",-0.0271183894230769,0.0201001967898896,27,-1.34916039412696,0.188491776623496
"(Intercept)",0.901599702380952,0.0112964414143975,39,79.8127188294754,7.9093652239457e-45
"INTi",-0.0149811126373628,0.020061430913352,39,-0.746761918532542,0.459685726638609
"(Intercept)",0.913736979166667,0.0150931950617711,30,60.5396654205466,6.36696223905987e-33
"groupsA_second",-0.0270182291666667,0.0213450011558993,30,-1.2657871962307,0.2153314274672
"(Intercept)",0.863012463659454,0.0167598045376281,20,51.4929909666827,9.77651495444467e-23
"groupsA_second",0.0426972219491589,0.0118988035911862,7,3.58836261326189,0.00887650887549267
"(Intercept)",0.858072916666667,0.0197194531409665,7,43.5140320845942,8.83860833841139e-10
"groupsA_second",0.0533854166666666,0.0120046168065445,7,4.44707378227707,0.00298214429809625
"(Intercept)",0.88671875,0.0401962214594613,6,22.0597538227386,5.67188674314436e-07
"groupsH_control_second",-0.0989583333333334,0.0568460415441226,6,-1.74081309173523,0.132361495688035
"(Intercept)",0.884765625,0.0213543368612119,7,41.4325966079093,1.2441753668499e-09
"groupsH_control_second",0.0664062499999999,0.0251474059007917,7,2.64067992786124,0.033390493166559
