"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.629401703125,0.0193156620837178,26,32.5850442194035,1.30240427818531e-22
"cityHouston",0.015343984375,0.0295051611989418,26,0.520044078781388,0.607432897363229
"(Intercept)",0.629401703125,0.0143932564962506,27,43.7289298143862,1.33511468757154e-26
"groupsA_first",0.0121660853365384,0.021497422286331,27,0.565932285950124,0.576113616964487
"(Intercept)",0.635977696428571,0.0144285725242597,39,44.0776587815089,6.92866936356613e-35
"INTi",0.00559009203296706,0.0256238049006128,39,0.218160107550358,0.828441895599554
"(Intercept)",0.629401703125,0.0161503159076518,30,38.9714793644871,2.95617092129537e-27
"groupsA_second",-0.018130296875,0.0228399957932112,30,-0.79379598136305,0.433548433545774
"(Intercept)",0.61624575,0.0390755055921731,11,15.7706404731315,6.71832337481422e-09
"groupsA_second",-0.00353559374999996,0.0498116913794986,11,-0.0709791948854628,0.944688345675348
"(Intercept)",0.6573940625,0.0279526659458219,7,23.5181167969512,6.38208631485842e-08
"groupsA_second",-0.0475614062500001,0.0177462042694817,7,-2.68008896594253,0.0315351967347625
"(Intercept)",0.6072926875,0.0321355503972163,6,18.8978461546003,1.41850842077901e-06
"groupsH_control_second",0.1747125,0.0454465312060674,6,3.84435281117065,0.00851569463699461
"(Intercept)",0.6634721875,0.0333101063641942,7,19.9180446992863,2.01100002418608e-07
"groupsH_control_second",-0.0675679062500001,0.0346553562088159,7,-1.94971033749789,0.0922068814631195
