"subind","runnum","group","N","go_rt_med","go_rt_sd","go_acc","go_error","go_omit"
"ldrc_0_009","1","A_first",128,0.5098455,0.117178958985089,0.9375,0.0520833333333333,0.0104166666666667
"ldrc_0_009","2","A_first",128,0.525949,0.139245664451142,0.96875,0.0104166666666667,0.0208333333333333
"ldrc_0_018","1","A_first",128,0.5764675,0.144553325967119,0.958333333333333,0.0208333333333333,0.0208333333333333
"ldrc_0_018","2","A_first",128,0.597934,0.11418536687814,0.958333333333333,0.03125,0.0104166666666667
"ldrc_0_025","1","A_first",128,0.5983955,0.132460088851845,0.958333333333333,0.0208333333333333,0.0208333333333333
"ldrc_0_026","1","A_first",128,0.5548045,0.139491218099012,0.854166666666667,0.0520833333333333,0.09375
"ldrc_0_026","2","A_first",128,0.525017,0.145479388074385,0.864583333333333,0.0208333333333333,0.114583333333333
"ldrc_0_054","1","A_first",128,0.587221,0.157510479695258,0.9375,0.0208333333333333,0.0416666666666667
"ldrc_0_054","2","A_first",128,0.6122775,0.123266658591943,0.958333333333333,0.0104166666666667,0.03125
"ldrc_0_057","2","A_first",128,0.6971995,0.145643812881504,0.875,0.0208333333333333,0.104166666666667
"ldrc_1_004","1","A_first",128,0.6076265,0.125998786517758,0.916666666666667,0.03125,0.0520833333333333
"ldrc_1_004","2","A_first",128,0.641532,0.122964529545468,0.96875,0.0104166666666667,0.0208333333333333
"ldrc_1_007","1","A_first",128,0.6631545,0.124182635313121,0.979166666666667,0.0104166666666667,0.0104166666666667
"ldrc_1_007","2","A_first",128,0.5785105,0.145039787643434,0.875,0.0729166666666667,0.0520833333333333
"ldrc_1_015","1","A_first",128,0.67711,0.150136260520584,0.802083333333333,0.03125,0.166666666666667
"ldrc_1_015","2","A_first",128,0.587047,0.149926870930202,0.78125,0.0416666666666667,0.177083333333333
"ldrc_1_020","1","A_first",128,0.717872,0.129570319445162,0.760416666666667,0,0.239583333333333
"ldrc_1_020","2","A_first",128,0.7109395,0.135216719507605,0.8125,0.0104166666666667,0.177083333333333
"ldrc_1_028","1","A_first",128,0.673402,0.138531684660596,0.864583333333333,0.0208333333333333,0.114583333333333
"ldrc_1_028","2","A_first",128,0.766446,0.135302239145692,0.885416666666667,0.0104166666666667,0.104166666666667
"ldrc_2_008","2","A_first",128,0.554959,0.149117269292173,0.875,0.09375,0.03125
"ldrc_2_010","1","A_first",128,0.731425,0.129027961506967,0.822916666666667,0.0104166666666667,0.166666666666667
"ldrc_2_010","2","A_first",128,0.80003,0.13755552303014,0.854166666666667,0.0104166666666667,0.135416666666667
"ldrc_2_011","1","A_first",128,0.685591,0.155916399635888,0.885416666666667,0.0208333333333333,0.09375
"ldrc_2_027","1","A_first",128,0.7364285,0.132848247520079,0.9375,0.0208333333333333,0.0416666666666667
"ldrc_2_027","2","A_first",128,0.5805965,0.117921032208261,0.9375,0.0104166666666667,0.0520833333333333
"ldrc_2_031","1","A_first",128,0.676931,0.158034281598663,0.9375,0.0104166666666667,0.0520833333333333
"ldrc_2_031","2","A_first",128,0.746316,0.129068002228274,0.854166666666667,0.0104166666666667,0.135416666666667
"ldrc_0_013_second","1","A_second",128,0.545689,0.140563341948683,0.760416666666667,0.03125,0.208333333333333
"ldrc_0_013_second","2","A_second",128,0.523241,0.134582960824346,0.927083333333333,0.0416666666666667,0.03125
"ldrc_0_026_second","1","A_second",128,0.510507,0.169081804689355,0.885416666666667,0.0520833333333333,0.0625
"ldrc_0_049_second","1","A_second",128,0.482971,0.147181822368259,0.96875,0.0208333333333333,0.0104166666666667
"ldrc_0_049_second","2","A_second",128,0.4591205,0.121764004480244,0.958333333333333,0.0208333333333333,0.0208333333333333
"ldrc_1_001_second","1","A_second",128,0.7906785,0.114878410383369,0.791666666666667,0.0104166666666667,0.197916666666667
"ldrc_1_004_second","1","A_second",128,0.6154415,0.113564787873289,1,0,0
"ldrc_1_004_second","2","A_second",128,0.648254,0.0936713457916706,0.958333333333333,0.03125,0.0104166666666667
"ldrc_1_015_second","1","A_second",128,0.574664,0.178458431968617,0.697916666666667,0.0208333333333333,0.28125
"ldrc_1_015_second","2","A_second",128,0.579055,0.150012218417062,0.895833333333333,0.0208333333333333,0.0833333333333333
"ldrc_1_020_second","1","A_second",128,0.678414,0.128350236572908,0.885416666666667,0.0104166666666667,0.104166666666667
"ldrc_1_020_second","2","A_second",128,0.66034,0.128137436551959,0.885416666666667,0.0208333333333333,0.09375
"ldrc_1_028_second","1","A_second",128,0.658773,0.138562598338775,0.96875,0.03125,0
"ldrc_1_028_second","2","A_second",128,0.534853,0.0928678130400664,0.958333333333333,0.03125,0.0104166666666667
"ldrc_1_036_second","1","A_second",128,0.682907,0.148399115392348,0.864583333333333,0,0.135416666666667
"ldrc_1_036_second","2","A_second",128,0.695146,0.142722075113759,0.71875,0.03125,0.25
"ldrc_2_005_second","1","A_second",128,0.554085,0.128789123484931,0.916666666666667,0.0625,0.0208333333333333
"ldrc_2_008_second","1","A_second",128,0.515633,0.132339040920422,0.96875,0.03125,0
"ldrc_2_008_second","2","A_second",128,0.518495,0.103288543163238,0.947916666666667,0.0416666666666667,0.0104166666666667
"ldrc_2_010_second","1","A_second",128,0.715365,0.153166806520645,0.864583333333333,0.0208333333333333,0.114583333333333
"ldrc_2_010_second","2","A_second",128,0.585931,0.138969641840934,0.927083333333333,0.0208333333333333,0.0520833333333333
"ldrc_2_031_second","1","A_second",128,0.725545,0.125063866226255,0.927083333333333,0,0.0729166666666667
"ldrc_2_034_second","1","A_second",128,0.615291,0.137359229346829,0.90625,0.0208333333333333,0.0729166666666667
"ldrc_2_048_second","1","A_second",128,0.641895,0.134057984812341,0.90625,0.03125,0.0625
"ldrc_2_048_second","2","A_second",128,0.608518,0.126214318551523,0.916666666666667,0.0104166666666667,0.0729166666666667
"ldrc_0_013_third","1","A_third",128,0.561419,0.161638004469359,0.9375,0.0416666666666667,0.0208333333333333
"ldrc_0_013_third","2","A_third",128,0.5909375,0.141420771123081,0.916666666666667,0.0104166666666667,0.0729166666666667
"ldrc_0_026_third","1","A_third",128,0.54954,0.130325985588451,0.947916666666667,0.0104166666666667,0.0416666666666667
"ldrc_0_068_third","1","A_third",128,0.65567,0.145265447764745,0.822916666666667,0.0104166666666667,0.166666666666667
"ldrc_0_068_third","2","A_third",128,0.71892,0.155135613547099,0.71875,0.0104166666666667,0.270833333333333
"ldrc_1_001_third","1","A_third",128,0.699614,0.144822449474452,0.739583333333333,0,0.260416666666667
"ldrc_1_004_third","1","A_third",128,0.740984,0.130079585789059,0.791666666666667,0,0.208333333333333
"ldrc_1_004_third","2","A_third",128,0.671901,0.127548182924029,0.84375,0.0208333333333333,0.135416666666667
"ldrc_1_007_third","1","A_third",128,0.735098,0.147555908518665,0.947916666666667,0.0104166666666667,0.0416666666666667
"ldrc_1_007_third","2","A_third",128,0.6719965,0.129045873342953,0.854166666666667,0.0208333333333333,0.125
"ldrc_1_036_third","1","A_third",128,0.5104355,0.118705008640962,0.979166666666667,0.0104166666666667,0.0104166666666667
"ldrc_1_036_third","2","A_third",128,0.555105,0.115546009445546,0.979166666666667,0.0208333333333333,0
