"subind","N","go_rt_mean","go_rt_se","go_acc_mean","go_error_mean","groups"
"0_009",2,0.51789725,0.00805175000000002,0.953125,0.03125,"A_first"
"0_025",1,0.5983955,NA,0.958333333333333,0.0208333333333333,"A_first"
"0_026",2,0.53991075,0.01489375,0.859375,0.0364583333333333,"A_first"
"1_004",2,0.62457925,0.01695275,0.942708333333333,0.0208333333333333,"A_first"
"1_007",2,0.6208325,0.042322,0.927083333333333,0.0416666666666667,"A_first"
"1_015",2,0.6320785,0.0450315,0.791666666666667,0.0364583333333333,"A_first"
"1_020",2,0.71440575,0.00346624999999995,0.786458333333333,0.00520833333333333,"A_first"
"1_028",2,0.719924,0.046522,0.875,0.015625,"A_first"
"2_008",2,0.55090325,0.00405575000000002,0.875,0.0833333333333333,"A_first"
"2_010",2,0.7657275,0.0343025,0.838541666666667,0.0104166666666667,"A_first"
"2_011",1,0.685591,NA,0.885416666666667,0.0208333333333333,"A_first"
"2_027",2,0.6585125,0.077916,0.9375,0.015625,"A_first"
"2_031",2,0.7116235,0.0346925,0.895833333333333,0.0104166666666667,"A_first"
"0_013_second",2,0.534465,0.011224,0.84375,0.0364583333333333,"A_second"
"0_026_second",1,0.510507,NA,0.885416666666667,0.0520833333333333,"A_second"
"0_049_second",2,0.47104575,0.01192525,0.963541666666667,0.0208333333333333,"A_second"
"0_055_second",1,0.621883,NA,0.770833333333333,0.03125,"A_second"
"1_001_second",1,0.7906785,NA,0.791666666666667,0.0104166666666667,"A_second"
"1_004_second",2,0.63184775,0.01640625,0.979166666666667,0.015625,"A_second"
"1_015_second",2,0.5768595,0.00219550000000002,0.796875,0.0208333333333333,"A_second"
"1_020_second",2,0.669377,0.00903699999999996,0.885416666666667,0.015625,"A_second"
"1_028_second",2,0.596813,0.06196,0.963541666666667,0.03125,"A_second"
"1_036_second",2,0.6890265,0.0061195,0.791666666666667,0.015625,"A_second"
"2_005_second",1,0.554085,NA,0.916666666666667,0.0625,"A_second"
"2_008_second",2,0.517064,0.00143100000000002,0.958333333333333,0.0364583333333333,"A_second"
"2_010_second",2,0.650648,0.064717,0.895833333333333,0.0208333333333333,"A_second"
"2_031_second",1,0.725545,NA,0.927083333333333,0,"A_second"
"2_034_second",1,0.615291,NA,0.90625,0.0208333333333333,"A_second"
"2_048_second",2,0.6252065,0.0166885,0.911458333333333,0.0208333333333333,"A_second"
"0_013_third",2,0.57617825,0.01475925,0.927083333333333,0.0260416666666667,"A_third"
"0_026_third",1,0.54954,NA,0.947916666666667,0.0104166666666667,"A_third"
"1_001_third",2,0.7644575,0.0648435,0.6875,0.00520833333333333,"A_third"
"1_004_third",2,0.7064425,0.0345415,0.817708333333333,0.0104166666666667,"A_third"
"1_007_third",2,0.70354725,0.03155075,0.901041666666667,0.015625,"A_third"
"1_036_third",2,0.53277025,0.02233475,0.979166666666667,0.015625,"A_third"
"2_005_third",2,0.610064,0.012526,0.958333333333333,0.00520833333333333,"A_third"
"2_008_third",2,0.4929105,0.0323435,0.979166666666667,0.015625,"A_third"
"2_010_third",2,0.67101875,0.00937975000000002,0.911458333333333,0.00520833333333333,"A_third"
"2_034_third",2,0.63084575,0.03391525,0.984375,0,"A_third"
"ldrc2_0_104",2,0.72760975,0.00247824999999996,0.9375,0,"A_first2"
"ldrc2_0_122",2,0.7021615,0.0637835,0.833333333333333,0.0104166666666667,"A_first2"
"ldrc2_0_123",2,0.7376575,0.00399250000000001,0.817708333333333,0.03125,"A_first2"
"ldrc2_0_124",2,0.64101275,0.02121125,0.979166666666667,0,"A_first2"
"ldrc2_0_128",2,0.644465,0.0114545,0.822916666666667,0.0625,"A_first2"
"ldrc2_0_135",2,0.6192955,0.0191225,0.802083333333333,0.0520833333333333,"A_first2"
"ldrc2_0_137",2,0.5485415,0.00227350000000004,0.880208333333333,0.0625,"A_first2"
"ldrc2_0_140",1,0.7799035,NA,0.833333333333333,0,"A_first2"
"ldrc2_0_145",2,0.619802,0.00935800000000003,0.838541666666667,0.0416666666666667,"A_first2"
"ldrc2_0_151",2,0.64329675,0.01442525,0.973958333333333,0,"A_first2"
"ldrc2_0_172",2,0.75544525,0.03827475,0.901041666666667,0.0104166666666667,"A_first2"
"ldrc2_0_175",2,0.53951725,0.01193825,0.953125,0.00520833333333333,"A_first2"
"ldrc2_1_129",2,0.56579325,0.00531974999999996,0.963541666666667,0.0104166666666667,"A_first2"
"ldrc2_1_133",2,0.6134015,0.0093895,0.911458333333333,0.015625,"A_first2"
"ldrc2_1_139",2,0.6830645,0.0346095,0.729166666666667,0.0520833333333333,"A_first2"
"ldrc2_1_141",2,0.571607,0.014251,0.848958333333333,0.0416666666666667,"A_first2"
"ldrc2_1_143",2,0.7708165,0.0147275,0.6875,0.0364583333333333,"A_first2"
"ldrc2_1_147",2,0.635728,0.00755600000000001,0.833333333333333,0.0572916666666667,"A_first2"
