"runnum","group","N","go_rt_me","go_rt_sd","go_acc_me","go_error_me"
"1","A_first",14,0.642591035714286,0.0187373264307706,0.896577380952381,0.0230654761904762
"2","A_first",14,0.637482392857143,0.0242731278497515,0.890625,0.0260416666666667
"1","A_second",15,0.620523933333333,0.0231287122779327,0.8875,0.0229166666666667
"2","A_second",10,0.58129535,0.0232997011094384,0.909375,0.0270833333333333
"1","A_third",11,0.617108590909091,0.0279460163742542,0.911931818181818,0.00946969696969697
"2","A_third",9,0.631456,0.0210086664585846,0.90162037037037,0.0127314814814815
"1","A2_first",16,0.6614125,0.0183942960852792,0.881510416666667,0.021484375
"2","A2_first",12,0.67468,0.0240616649695332,0.871527777777778,0.0225694444444444
"1","A2_second",12,0.6595125,0.0152228121997527,0.869791666666667,0.015625
"2","A2_second",10,0.6652362,0.0194634360149144,0.855208333333333,0.0208333333333333
"1","A3_first",20,0.6724466,0.0173933019532323,0.843229166666667,0.0260416666666667
"2","A3_first",16,0.67298865625,0.020963932921544,0.848307291666667,0.0260416666666667
"1","H_first",1,0.665307,NA,0.625,0.0104166666666667
"1","H_second",4,0.693606125,0.0609959705309755,0.815104166666667,0.0182291666666667
"2","H_second",1,0.757915,NA,0.760416666666667,0.0104166666666667
"1","H_third",7,0.629908357142857,0.0268348603449821,0.858630952380952,0.0133928571428571
"2","H_third",5,0.6329889,0.0305097944373606,0.877083333333333,0.0229166666666667
"1","H2_first",8,0.582125125,0.0261093245702685,0.861979166666667,0.05078125
"2","H2_first",7,0.617534785714286,0.0263676764286939,0.84375,0.0282738095238095
"1","H2_second",6,0.6488855,0.0221860892629443,0.855902777777778,0.0208333333333333
"2","H2_second",6,0.620058416666667,0.0367434074514093,0.836805555555556,0.0434027777777778
"1","H3_first",5,0.6288512,0.0229341086449855,0.870833333333333,0.0166666666666667
"2","H3_first",3,0.6783935,0.00862625576848573,0.833333333333333,0.0104166666666667
"1","A_control",30,0.647043966666667,0.0111613124099803,0.895138888888889,0.0277777777777778
"2","A_control",29,0.634600327586207,0.0122289816571982,0.907686781609195,0.0229885057471264
"1","H_control_first",6,0.657594833333333,0.0615180026694987,0.883680555555556,0.015625
"2","H_control_first",6,0.673074916666667,0.0521464445933144,0.883680555555556,0.0121527777777778
