"","subind","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","groups","ID","ID2","INT","city"
"1","0_009",2,0.484375,0.515625,0.5,0.5,0.2515625,0.52148159375,0.26991909375,"A_first","0","0","i","Austin"
"2","0_025",1,0.5625,0.4375,0.4375,0.4375,0.378125,0.581153875,0.203028875,"A_first","0","0","i","Austin"
"3","0_026",2,0.453125,0.546875,0.515625,0.515625,0.221875,0.558677984375,0.336802984375,"A_first","0","0","i","Austin"
"4","1_004",2,0.546875,0.453125,0.453125,0.453125,0.3265625,0.612925375,0.286362875,"A_first","1","1","i","Austin"
"5","1_007",2,0.515625,0.484375,0.484375,0.484375,0.3296875,0.613861875,0.284174375,"A_first","1","1","i","Austin"
"6","1_015",2,0.5,0.5,0.453125,0.453125,0.27578125,0.6200299375,0.3442486875,"A_first","1","1","i","Austin"
"7","1_020",2,0.609375,0.390625,0.390625,0.390625,0.4796875,0.65264059375,0.17295309375,"A_first","1","1","i","Austin"
"8","1_028",2,0.546875,0.453125,0.4375,0.4375,0.5,0.709539375,0.209539375,"A_first","1","1","i","Austin"
"9","2_008",2,0.5,0.5,0.4375,0.4375,0.3703125,0.55090325,0.18059075,"A_first","2","1","i","Austin"
"10","2_010",2,0.671875,0.328125,0.328125,0.328125,0.5921875,0.70829840625,0.11611090625,"A_first","2","1","i","Austin"
"11","2_011",1,0.5625,0.4375,0.4375,0.4375,0.4,0.657942,0.257942,"A_first","2","1","i","Austin"
"12","2_027",2,0.546875,0.453125,0.453125,0.453125,0.4796875,0.6452541875,0.1655666875,"A_first","2","1","i","Austin"
"13","2_031",2,0.609375,0.390625,0.390625,0.390625,0.4765625,0.653926296875,0.177363796875,"A_first","2","1","i","Austin"
"14","0_013",2,0.5,0.5,0.46875,0.46875,0.296875,0.532651375,0.235776375,"A_second","0","0","i","Austin"
"15","0_026",1,0.46875,0.53125,0.5,0.5,0.20625,0.518291375,0.312041375,"A_second","0","0","i","Austin"
"16","0_049",2,0.5,0.5,0.421875,0.421875,0.25,0.47104575,0.22104575,"A_second","0","0","i","Austin"
"17","0_055",1,0.53125,0.46875,0.46875,0.46875,0.325,0.62038165625,0.29538165625,"A_second","0","0","i","Austin"
"18","1_001",1,0.625,0.375,0.375,0.375,0.625,0.7562145,0.1312145,"A_second","1","1","i","Austin"
"19","1_004",2,0.546875,0.453125,0.453125,0.453125,0.353125,0.616768140625,0.263643140625,"A_second","1","1","i","Austin"
"20","1_015",2,0.53125,0.46875,0.453125,0.453125,0.31875,0.563613578125,0.244863578125,"A_second","1","1","i","Austin"
"21","1_020",2,0.546875,0.453125,0.4375,0.4375,0.3609375,0.641665375,0.280727875,"A_second","1","1","i","Austin"
"22","1_028",2,0.53125,0.46875,0.421875,0.421875,0.353125,0.592288,0.239163,"A_second","1","1","i","Austin"
"23","1_036",2,0.5625,0.4375,0.4375,0.4375,0.390625,0.6590240625,0.2683990625,"A_second","1","1","i","Austin"
"24","2_005",1,0.53125,0.46875,0.34375,0.34375,0.325,0.54359121875,0.21859121875,"A_second","2","1","i","Austin"
"25","2_008",2,0.515625,0.484375,0.484375,0.484375,0.2796875,0.5073833125,0.2276958125,"A_second","2","1","i","Austin"
"26","2_010",2,0.578125,0.421875,0.421875,0.421875,0.4453125,0.6080451875,0.1627326875,"A_second","2","1","i","Austin"
"27","2_031",1,0.5625,0.4375,0.4375,0.4375,0.471875,0.6985535,0.2266785,"A_second","2","1","i","Austin"
"28","2_034",1,0.53125,0.46875,0.46875,0.46875,0.3625,0.597116625,0.234616625,"A_second","2","1","i","Austin"
"29","2_048",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6182186875,0.2447811875,"A_second","2","1","i","Austin"
