"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.36689453125,0.0233532688020017,26,15.7106285360169,8.68139244749708e-15
"cityHouston",0.05810546875,0.0356727073366078,26,1.62884942266133,0.115403183018434
"(Intercept)",0.36689453125,0.0220804831442299,27,16.6162365584776,1.05452842113081e-15
"groupsA_first",0.0240309495192308,0.032978879419079,27,0.728676957572075,0.47247279608579
"(Intercept)",0.391796875,0.0190272670459401,39,20.5913373714697,1.47446612201683e-22
"INTi",-0.00087139423076918,0.0337906593155545,39,-0.0257880209625878,0.979557920439514
"(Intercept)",0.36689453125,0.0207583821230141,30,17.6745243957734,2.07684453106015e-17
"groupsA_second",-0.00830078125000002,0.0293567855312897,30,-0.282755114355169,0.779306409140827
"(Intercept)",0.3678125,0.0463043268728192,11,7.94337213907124,6.98821558542085e-06
"groupsA_second",0.00074218749999999,0.059026666572071,11,0.0125737661145711,0.99019300192087
"(Intercept)",0.40537109375,0.0381488148862734,7,10.6260468368012,1.43170622695392e-05
"groupsA_second",-0.0567382812500001,0.0275561337801861,7,-2.05900732310993,0.0784800099622903
"(Intercept)",0.421875,0.0467709212383755,6,9.02002759043052,0.000103960401446131
"groupsH_control_second",0.1341796875,0.0661440711399945,6,2.0285973510159,0.0888361993212484
"(Intercept)",0.4265625,0.0371662730492028,7,11.4771394870638,8.56928496558319e-06
"groupsH_control_second",-0.0455078125000001,0.0363349497991898,7,-1.25245287943166,0.250625483801511
