"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.247554087890625,0.013257146404831,26,18.6732559429542,1.38565177990571e-16
"cityHouston",-0.0526358522135417,0.0202506256330833,26,-2.59922103974659,0.015196461562405
"(Intercept)",0.247554087890625,0.0151889746863306,27,16.2982750977532,1.69738043962306e-15
"groupsA_first",-0.0164307417367788,0.0226858878679401,27,-0.724271486856766,0.4751286936133
"(Intercept)",0.224995865513393,0.0117893039236357,39,19.0847455431454,2.19845366257949e-21
"INTi",0.0061274806404533,0.0209367089603183,39,0.292666849028987,0.771328307097853
"(Intercept)",0.247554087890625,0.0120985945927727,30,20.4613921057,3.56250351196771e-19
"groupsA_second",-0.00959456640624998,0.017109996558753,30,-0.560757938980512,0.579127034103243
"(Intercept)",0.23612620625,0.0217338860380277,11,10.8644264461887,3.20938450109713e-07
"groupsA_second",-0.00490040937500001,0.0277053772535263,11,-0.176875749792445,0.862820616226068
"(Intercept)",0.22799655859375,0.0237198705177971,7,9.61204903807058,2.77532730111612e-05
"groupsA_second",0.0166966875,0.0223981299382096,7,0.745450068646874,0.480276226858343
"(Intercept)",0.15567009765625,0.0233616949265579,6,6.6634761795165,0.000552552271799398
"groupsH_control_second",-0.00957723828125007,0.0330384258051609,6,-0.289881798174356,0.781663791220175
"(Intercept)",0.2145423046875,0.0147546768142033,7,14.5406305667756,1.73647769580748e-06
"groupsH_control_second",-0.015216291015625,0.0151037018373352,7,-1.00745440948864,0.347264648741319
