"subind","runnum","N","stop_acc","stop_error","stop_fail_cor","stop_fail_incor","ssd_med","ssd_mean","quantileRT","SSRT","groups"
"0_009","1",128,0.46875,0.53125,0.5,0.03125,0.2,0.228125,0.5170141875,0.2888891875,"A_first"
"0_009","2",128,0.5,0.5,0.5,0,0.3,0.275,0.525949,0.250949,"A_first"
"0_025","1",128,0.5625,0.4375,0.4375,0,0.4,0.378125,0.581153875,0.203028875,"A_first"
"0_026","1",128,0.46875,0.53125,0.46875,0.0625,0.3,0.265625,0.56464996875,0.29902496875,"A_first"
"0_026","2",128,0.4375,0.5625,0.5625,0,0.2,0.178125,0.552706,0.374581,"A_first"
"1_004","1",128,0.5625,0.4375,0.4375,0,0.325,0.3125,0.59060675,0.27810675,"A_first"
"1_004","2",128,0.53125,0.46875,0.46875,0,0.35,0.340625,0.635244,0.294619,"A_first"
"1_007","1",128,0.5,0.5,0.5,0,0.4,0.365625,0.6631545,0.2975295,"A_first"
"1_007","2",128,0.53125,0.46875,0.46875,0,0.3,0.29375,0.56456925,0.27081925,"A_first"
"1_015","1",128,0.5625,0.4375,0.40625,0.03125,0.4,0.396875,0.63245375,0.23557875,"A_first"
"1_015","2",128,0.4375,0.5625,0.5,0.0625,0.175,0.1546875,0.607606125,0.452918625,"A_first"
"1_020","1",128,0.65625,0.34375,0.34375,0,0.55,0.53125,0.624106,0.092856,"A_first"
"1_020","2",128,0.5625,0.4375,0.4375,0,0.45,0.428125,0.6811751875,0.2530501875,"A_first"
"1_028","1",128,0.5625,0.4375,0.40625,0.03125,0.475,0.459375,0.660490625,0.201115625,"A_first"
"1_028","2",128,0.53125,0.46875,0.46875,0,0.55,0.540625,0.758588125,0.217963125,"A_first"
"2_008","1",128,0.5,0.5,0.4375,0.0625,0.4,0.428125,0.5468475,0.1187225,"A_first"
"2_008","2",128,0.5,0.5,0.4375,0.0625,0.3,0.3125,0.554959,0.242459,"A_first"
"2_010","1",128,0.65625,0.34375,0.34375,0,0.65,0.596875,0.6951538125,0.0982788124999999,"A_first"
"2_010","2",128,0.6875,0.3125,0.3125,0,0.6,0.5875,0.721443,0.133943,"A_first"
"2_011","1",128,0.5625,0.4375,0.4375,0,0.4,0.4,0.657942,0.257942,"A_first"
"2_027","1",128,0.5625,0.4375,0.4375,0,0.525,0.515625,0.720279125,0.204654125,"A_first"
"2_027","2",128,0.53125,0.46875,0.46875,0,0.475,0.44375,0.57022925,0.12647925,"A_first"
"2_031","1",128,0.625,0.375,0.375,0,0.4,0.41875,0.5909185,0.1721685,"A_first"
"2_031","2",128,0.59375,0.40625,0.40625,0,0.55,0.534375,0.71693409375,0.18255909375,"A_first"
"0_013_second","1",128,0.46875,0.53125,0.5,0.03125,0.3,0.3125,0.55287325,0.24037325,"A_second"
"0_013_second","2",128,0.53125,0.46875,0.4375,0.03125,0.3,0.28125,0.5124295,0.2311795,"A_second"
"0_026_second","1",128,0.46875,0.53125,0.5,0.03125,0.2,0.20625,0.518291375,0.312041375,"A_second"
"0_049_second","1",128,0.5,0.5,0.4375,0.0625,0.25,0.26875,0.482971,0.214221,"A_second"
"0_049_second","2",128,0.5,0.5,0.40625,0.09375,0.225,0.23125,0.4591205,0.2278705,"A_second"
"0_055_second","2",128,0.53125,0.46875,0.46875,0,0.35,0.325,0.62038165625,0.29538165625,"A_second"
"1_001_second","1",128,0.625,0.375,0.375,0,0.7,0.625,0.7562145,0.1312145,"A_second"
"1_004_second","1",128,0.53125,0.46875,0.46875,0,0.35,0.328125,0.60422559375,0.27610059375,"A_second"
"1_004_second","2",128,0.5625,0.4375,0.4375,0,0.4,0.378125,0.6293106875,0.2511856875,"A_second"
"1_015_second","1",128,0.53125,0.46875,0.46875,0,0.3,0.30625,0.55273875,0.24648875,"A_second"
"1_015_second","2",128,0.53125,0.46875,0.4375,0.03125,0.35,0.33125,0.57448840625,0.24323840625,"A_second"
"1_020_second","1",128,0.5625,0.4375,0.4375,0,0.35,0.375,0.63416625,0.25916625,"A_second"
"1_020_second","2",128,0.53125,0.46875,0.4375,0.03125,0.35,0.346875,0.6491645,0.3022895,"A_second"
"1_028_second","1",128,0.5625,0.4375,0.4375,0,0.45,0.44375,0.649723,0.205973,"A_second"
"1_028_second","2",128,0.5,0.5,0.40625,0.09375,0.25,0.2625,0.534853,0.272353,"A_second"
"1_036_second","1",128,0.5625,0.4375,0.4375,0,0.4,0.38125,0.657768875,0.276518875,"A_second"
"1_036_second","2",128,0.5625,0.4375,0.4375,0,0.4,0.4,0.66027925,0.26027925,"A_second"
"2_005_second","1",128,0.53125,0.46875,0.34375,0.125,0.3,0.325,0.54359121875,0.21859121875,"A_second"
"2_008_second","1",128,0.53125,0.46875,0.46875,0,0.275,0.278125,0.496271625,0.218146625,"A_second"
"2_008_second","2",128,0.5,0.5,0.5,0,0.3,0.28125,0.518495,0.237245,"A_second"
"2_010_second","1",128,0.59375,0.40625,0.40625,0,0.6,0.571875,0.654800375,0.082925375,"A_second"
"2_010_second","2",128,0.5625,0.4375,0.4375,0,0.3,0.31875,0.56129,0.24254,"A_second"
"2_031_second","1",128,0.5625,0.4375,0.4375,0,0.45,0.471875,0.6985535,0.2266785,"A_second"
"2_034_second","1",128,0.53125,0.46875,0.46875,0,0.35,0.3625,0.597116625,0.234616625,"A_second"
"2_048_second","1",128,0.53125,0.46875,0.46875,0,0.35,0.365625,0.630589875,0.264964875,"A_second"
"2_048_second","2",128,0.53125,0.46875,0.4375,0.03125,0.4,0.38125,0.6058475,0.2245975,"A_second"
"0_013_third","1",128,0.53125,0.46875,0.4375,0.03125,0.3,0.278125,0.54782140625,0.26969640625,"A_third"
"0_013_third","2",128,0.53125,0.46875,0.4375,0.03125,0.35,0.371875,0.57606184375,0.20418684375,"A_third"
"0_026_third","1",128,0.46875,0.53125,0.5,0.03125,0.25,0.23125,0.5574060625,0.3261560625,"A_third"
"1_001_third","1",128,0.59375,0.40625,0.40625,0,0.65,0.615625,0.6733305,0.0577055000000001,"A_third"
"1_001_third","2",128,0.65625,0.34375,0.34375,0,0.6,0.571875,0.781318,0.209443,"A_third"
"1_004_third","1",128,0.5625,0.4375,0.4375,0,0.45,0.440625,0.7112428125,0.2706178125,"A_third"
"1_004_third","2",128,0.53125,0.46875,0.46875,0,0.35,0.353125,0.6657345,0.3126095,"A_third"
"1_007_third","1",128,0.59375,0.40625,0.40625,0,0.425,0.403125,0.690041875,0.286916875,"A_third"
"1_007_third","2",128,0.59375,0.40625,0.40625,0,0.55,0.55,0.64965009375,0.0996500937499999,"A_third"
"1_036_third","1",128,0.46875,0.53125,0.53125,0,0.275,0.278125,0.5212835625,0.2431585625,"A_third"
"1_036_third","2",128,0.5,0.5,0.46875,0.03125,0.25,0.26875,0.555105,0.286355,"A_third"
"2_005_third","1",128,0.5625,0.4375,0.4375,0,0.35,0.35625,0.566772,0.210522,"A_third"
"2_005_third","2",128,0.5625,0.4375,0.4375,0,0.45,0.44375,0.603455,0.159705,"A_third"
"2_008_third","1",128,0.5,0.5,0.46875,0.03125,0.25,0.25625,0.460567,0.204317,"A_third"
"2_008_third","2",128,0.5,0.5,0.5,0,0.3,0.3125,0.525254,0.212754,"A_third"
"2_010_third","1",128,0.53125,0.46875,0.40625,0.0625,0.475,0.453125,0.66750709375,0.21438209375,"A_third"
"2_010_third","2",128,0.59375,0.40625,0.40625,0,0.5,0.48125,0.63745375,0.15620375,"A_third"
"2_034_third","1",128,0.5625,0.4375,0.4375,0,0.375,0.4,0.5756013125,0.1756013125,"A_third"
"2_034_third","2",128,0.5625,0.4375,0.4375,0,0.4,0.375,0.64959775,0.27459775,"A_third"
"ldrc2_0_104","1",128,0.59375,0.40625,0.40625,0,0.4,0.428125,0.696744375,0.268619375,"A_first2"
"ldrc2_0_104","2",128,0.5625,0.4375,0.4375,0,0.475,0.465625,0.704014375,0.238389375,"A_first2"
"ldrc2_0_122","1",128,0.625,0.375,0.375,0,0.45,0.46875,0.616129,0.147379,"A_first2"
"ldrc2_0_122","2",128,0.59375,0.40625,0.40625,0,0.525,0.509375,0.733165,0.22379,"A_first2"
"ldrc2_0_123","1",128,0.5625,0.4375,0.4375,0,0.4,0.409375,0.6849241875,0.2755491875,"A_first2"
"ldrc2_0_123","2",128,0.5625,0.4375,0.4375,0,0.475,0.465625,0.703719,0.238094,"A_first2"
"ldrc2_0_124","1",128,0.5625,0.4375,0.4375,0,0.35,0.365625,0.60592375,0.24029875,"A_first2"
