"subind","group","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me"
"ldrc_0_009","A_first",2,0.484375,0.515625,0.5,0.5,0.2515625,0.52148159375,0.26991909375
"ldrc_0_018","A_first",2,0.546875,0.453125,0.453125,0.453125,0.2375,0.57306053125,0.33556053125
"ldrc_0_025","A_first",1,0.5625,0.4375,0.4375,0.4375,0.378125,0.581153875,0.203028875
"ldrc_0_026","A_first",2,0.453125,0.546875,0.515625,0.515625,0.221875,0.558677984375,0.336802984375
"ldrc_0_054","A_first",2,0.53125,0.46875,0.453125,0.453125,0.359375,0.59293603125,0.23356103125
"ldrc_0_057","A_first",1,0.5625,0.4375,0.4375,0.4375,0.48125,0.6811386875,0.1998886875
"ldrc_1_004","A_first",2,0.546875,0.453125,0.453125,0.453125,0.3265625,0.612925375,0.286362875
"ldrc_1_007","A_first",2,0.515625,0.484375,0.484375,0.484375,0.3296875,0.613861875,0.284174375
"ldrc_1_015","A_first",2,0.5,0.5,0.453125,0.453125,0.27578125,0.6200299375,0.3442486875
"ldrc_1_020","A_first",2,0.609375,0.390625,0.390625,0.390625,0.4796875,0.65264059375,0.17295309375
"ldrc_1_028","A_first",2,0.546875,0.453125,0.4375,0.4375,0.5,0.709539375,0.209539375
"ldrc_2_008","A_first",1,0.5,0.5,0.4375,0.4375,0.3125,0.554959,0.242459
"ldrc_2_010","A_first",2,0.671875,0.328125,0.328125,0.328125,0.5921875,0.70829840625,0.11611090625
"ldrc_2_011","A_first",1,0.5625,0.4375,0.4375,0.4375,0.4,0.657942,0.257942
"ldrc_2_027","A_first",2,0.546875,0.453125,0.453125,0.453125,0.4796875,0.6452541875,0.1655666875
"ldrc_2_031","A_first",2,0.609375,0.390625,0.390625,0.390625,0.4765625,0.653926296875,0.177363796875
"ldrc_0_013_second","A_second",2,0.5,0.5,0.46875,0.46875,0.296875,0.532651375,0.235776375
"ldrc_0_026_second","A_second",1,0.46875,0.53125,0.5,0.5,0.20625,0.518291375,0.312041375
"ldrc_0_049_second","A_second",2,0.5,0.5,0.421875,0.421875,0.25,0.47104575,0.22104575
