"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"0_009","A_first",2,0.51789725,0.00805175000000002,0.953125,0.03125,0.484375,0.515625,0.5,0.5,0.2515625,0.52148159375,0.26991909375,"first","0","0","austin","u"
"0_018","A_first",2,0.58720075,0.01073325,0.958333333333333,0.0260416666666667,0.546875,0.453125,0.453125,0.453125,0.2375,0.57306053125,0.33556053125,"first","0","0","austin","u"
"0_025","A_first",1,0.5983955,NA,0.958333333333333,0.0208333333333333,0.5625,0.4375,0.4375,0.4375,0.378125,0.581153875,0.203028875,"first","0","0","austin","u"
"0_026","A_first",2,0.53991075,0.01489375,0.859375,0.0364583333333333,0.453125,0.546875,0.515625,0.515625,0.221875,0.558677984375,0.336802984375,"first","0","0","austin","r"
"0_054","A_first",2,0.59974925,0.01252825,0.947916666666667,0.015625,0.53125,0.46875,0.453125,0.453125,0.359375,0.59293603125,0.23356103125,"first","0","0","austin","u"
"0_057","A_first",1,0.6971995,NA,0.875,0.0208333333333333,0.5625,0.4375,0.4375,0.4375,0.48125,0.6811386875,0.1998886875,"first","0","0","austin","u"
"1_004","A_first",2,0.62457925,0.01695275,0.942708333333333,0.0208333333333333,0.546875,0.453125,0.453125,0.453125,0.3265625,0.612925375,0.286362875,"first","1","1","austin","r"
"1_007","A_first",2,0.6208325,0.042322,0.927083333333333,0.0416666666666667,0.515625,0.484375,0.484375,0.484375,0.3296875,0.613861875,0.284174375,"first","1","1","austin","u"
"1_015","A_first",2,0.6320785,0.0450315,0.791666666666667,0.0364583333333333,0.5,0.5,0.453125,0.453125,0.27578125,0.6200299375,0.3442486875,"first","1","1","austin","r"
"1_020","A_first",2,0.71440575,0.00346624999999995,0.786458333333333,0.00520833333333333,0.609375,0.390625,0.390625,0.390625,0.4796875,0.65264059375,0.17295309375,"first","1","1","austin","r"
"1_028","A_first",2,0.719924,0.046522,0.875,0.015625,0.546875,0.453125,0.4375,0.4375,0.5,0.709539375,0.209539375,"first","1","1","austin","r"
"2_008","A_first",1,0.554959,NA,0.875,0.09375,0.5,0.5,0.4375,0.4375,0.3125,0.554959,0.242459,"first","2","1","austin","r"
"2_010","A_first",2,0.7657275,0.0343025,0.838541666666667,0.0104166666666667,0.671875,0.328125,0.328125,0.328125,0.5921875,0.70829840625,0.11611090625,"first","2","1","austin","r"
"2_011","A_first",1,0.685591,NA,0.885416666666667,0.0208333333333333,0.5625,0.4375,0.4375,0.4375,0.4,0.657942,0.257942,"first","2","1","austin","u"
"2_027","A_first",2,0.6585125,0.077916,0.9375,0.015625,0.546875,0.453125,0.453125,0.453125,0.4796875,0.6452541875,0.1655666875,"first","2","1","austin","u"
