"","subnum","runnum","vif","value"
"1033","2_048_second","Run3","des.matV11",67.2673072252054
"1034","2_048_second","Run3","des.matV12",12.7994098568156
"1215","1_007_third","Run2","des.matV11",174.924643206938
"1216","1_007_third","Run2","des.matV12",28.690006106979
"1619","ldrc2_0_128","Run1","des.matV9",12943.2487397638
"1620","ldrc2_0_128","Run1","des.matV10",10894.9231442616
"2111","ldrc2_1_152","Run2","des.matV11",18.2321470713234
"3053","c_046","Run3","des.matV1",10.3043179951455
"3077","c_047","Run1","des.matV11",1501199875790165
"3453","c_085","Run3","des.matV9",87.3529162720574
"3454","c_085","Run3","des.matV10",22.5713173342469
