"","subnum","runnum","vif","value"
"205","1_007","Run2","des.matV9",NA
"206","1_007","Run2","des.matV10",NA
"317","2_008","Run1","des.matV9",NA
"318","2_008","Run1","des.matV10",NA
"359","2_010","Run1","des.matV9",NA
"360","2_010","Run1","des.matV10",NA
"835","2_005_second","Run1","des.matV9",NA
"836","2_005_second","Run1","des.matV10",NA
"1185","1_004_third","Run3","des.matV9",NA
"1186","1_004_third","Run3","des.matV10",NA
"1297","2_005_third","Run1","des.matV9",NA
"1298","2_005_third","Run1","des.matV10",NA
"1451","2_034_third","Run3","des.matV9",NA
"1452","2_034_third","Run3","des.matV10",NA
"1787","ldrc2_0_145","Run3","des.matV9",NA
"1788","ldrc2_0_145","Run3","des.matV10",NA
"1871","ldrc2_0_172","Run3","des.matV9",NA
"1872","ldrc2_0_172","Run3","des.matV10",NA
"1885","ldrc2_0_175","Run1","des.matV9",NA
"1886","ldrc2_0_175","Run1","des.matV10",NA
"2123","ldrc2_1_157","Run1","des.matV9",NA
"2124","ldrc2_1_157","Run1","des.matV10",NA
"2655","LDFHO10238_1","Run1","des.matV9",NA
"2656","LDFHO10238_1","Run1","des.matV10",NA
"2893","c_037","Run2","des.matV9",NA
"2894","c_037","Run2","des.matV10",NA
"3033","c_045","Run2","des.matV9",NA
"3034","c_045","Run2","des.matV10",NA
"3061","c_046","Run3","des.matV9",NA
"3062","c_046","Run3","des.matV10",NA
"3159","c_059","Run3","des.matV9",NA
"3160","c_059","Run3","des.matV10",NA
"3397","c_084","Run1","des.matV9",NA
"3398","c_084","Run1","des.matV10",NA
"3411","c_084","Run2","des.matV9",NA
"3412","c_084","Run2","des.matV10",NA
"3495","c_086","Run3","des.matV9",NA
"3496","c_086","Run3","des.matV10",NA
"3509","c_101","Run1","des.matV9",NA
"3510","c_101","Run1","des.matV10",NA
"3537","c_101","Run3","des.matV9",NA
"3538","c_101","Run3","des.matV10",NA
"3649","8961_c_second","Run3","des.matV9",NA
"3650","8961_c_second","Run3","des.matV10",NA
"3705","8967_c_second","Run1","des.matV9",NA
"3706","8967_c_second","Run1","des.matV10",NA
"3803","8974_c_second","Run2","des.matV9",NA
"3804","8974_c_second","Run2","des.matV10",NA
"3859","8961_c_third","Run1","des.matV9",NA
"3860","8961_c_third","Run1","des.matV10",NA
