"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"0_026","A_first",2,0.53991075,0.01489375,0.859375,0.0364583333333333,0.453125,0.546875,0.515625,0.515625,0.221875,0.558677984375,0.336802984375,"first","0","0","austin","r"
"1_004","A_first",2,0.62457925,0.01695275,0.942708333333333,0.0208333333333333,0.546875,0.453125,0.453125,0.453125,0.3265625,0.612925375,0.286362875,"first","1","1","austin","r"
"1_015","A_first",2,0.6320785,0.0450315,0.791666666666667,0.0364583333333333,0.5,0.5,0.453125,0.453125,0.27578125,0.6200299375,0.3442486875,"first","1","1","austin","r"
"1_020","A_first",2,0.71440575,0.00346624999999995,0.786458333333333,0.00520833333333333,0.609375,0.390625,0.390625,0.390625,0.4796875,0.65264059375,0.17295309375,"first","1","1","austin","r"
"1_028","A_first",2,0.719924,0.046522,0.875,0.015625,0.546875,0.453125,0.4375,0.4375,0.5,0.709539375,0.209539375,"first","1","1","austin","r"
"2_008","A_first",1,0.554959,NA,0.875,0.09375,0.5,0.5,0.4375,0.4375,0.3125,0.554959,0.242459,"first","2","1","austin","r"
"2_010","A_first",2,0.7657275,0.0343025,0.838541666666667,0.0104166666666667,0.671875,0.328125,0.328125,0.328125,0.5921875,0.70829840625,0.11611090625,"first","2","1","austin","r"
"2_031","A_first",2,0.7116235,0.0346925,0.895833333333333,0.0104166666666667,0.609375,0.390625,0.390625,0.390625,0.4765625,0.653926296875,0.177363796875,"first","2","1","austin","r"
"0_026","A_second",1,0.510507,NA,0.885416666666667,0.0520833333333333,0.46875,0.53125,0.5,0.5,0.20625,0.518291375,0.312041375,"second","0","0","austin","r"
"1_004","A_second",2,0.63184775,0.01640625,0.979166666666667,0.015625,0.546875,0.453125,0.453125,0.453125,0.353125,0.616768140625,0.263643140625,"second","1","1","austin","r"
"1_015","A_second",2,0.5768595,0.00219550000000002,0.796875,0.0208333333333333,0.53125,0.46875,0.453125,0.453125,0.31875,0.563613578125,0.244863578125,"second","1","1","austin","r"
"1_020","A_second",2,0.669377,0.00903699999999996,0.885416666666667,0.015625,0.546875,0.453125,0.4375,0.4375,0.3609375,0.641665375,0.280727875,"second","1","1","austin","r"
"1_028","A_second",2,0.596813,0.06196,0.963541666666667,0.03125,0.53125,0.46875,0.421875,0.421875,0.353125,0.592288,0.239163,"second","1","1","austin","r"
"2_008","A_second",2,0.517064,0.00143100000000002,0.958333333333333,0.0364583333333333,0.515625,0.484375,0.484375,0.484375,0.2796875,0.5073833125,0.2276958125,"second","2","1","austin","r"
"2_010","A_second",2,0.650648,0.064717,0.895833333333333,0.0208333333333333,0.578125,0.421875,0.421875,0.421875,0.4453125,0.6080451875,0.1627326875,"second","2","1","austin","r"
"2_031","A_second",1,0.725545,NA,0.927083333333333,0,0.5625,0.4375,0.4375,0.4375,0.471875,0.6985535,0.2266785,"second","2","1","austin","r"
