"","Sentence","Resp","n"
"1","A basement won the family.","nonsense",39
"2","A basement won the family.","sense",5
"3","A basement won the family.",NA,3
"4","A bird dropped the worm.","nonsense",3
"5","A bird dropped the worm.","sense",49
"6","A bird dropped the worm.",NA,1
"7","A cat was saved by a king.","nonsense",11
"8","A cat was saved by a king.","sense",32
"9","A cat was saved by a king.",NA,4
"10","A chair was tasted by a frame.","nonsense",47
"11","A chair was tasted by a frame.",NA,2
"12","A cup was cut by the pillow.","nonsense",43
"13","A cup was cut by the pillow.","sense",3
"14","A cup was cut by the pillow.",NA,3
"15","A fence walked to the mother.","nonsense",41
"16","A fence walked to the mother.","sense",10
"17","A fence walked to the mother.",NA,2
"18","A fly entered the house.","nonsense",8
"19","A fly entered the house.","sense",40
"20","A fly entered the house.",NA,1
"21","A hen carried the dancer.","nonsense",60
"22","A hen carried the dancer.","sense",4
"23","A joke hugged the dragon.","nonsense",44
"24","A joke hugged the dragon.","sense",2
"25","A mouse chewed on the cheese.","nonsense",2
"26","A mouse chewed on the cheese.","sense",52
"27","A phone was used by a doctor.","nonsense",11
"28","A phone was used by a doctor.","sense",41
"29","A phone was used by a doctor.",NA,1
"30","A rope was sold by the frog.","nonsense",51
"31","A rope was sold by the frog.","sense",3
"32","A rope was sold by the frog.",NA,1
"33","A rug was rolled by the actor.","nonsense",13
"34","A rug was rolled by the actor.","sense",32
"35","A rug was rolled by the actor.",NA,2
"36","A tiger scared the zebra.","nonsense",5
"37","A tiger scared the zebra.","sense",52
"38","A tiger scared the zebra.",NA,1
"39","Bread was scratched by a tray.","nonsense",45
"40","Bread was scratched by a tray.","sense",8
"41","Bread was scratched by a tray.",NA,2
"42","Fire was licked by a banana.","nonsense",61
"43","Fire was licked by a banana.","sense",4
"44","Pasta was waved by a fish.","nonsense",42
"45","Pasta was waved by a fish.","sense",1
"46","Pasta was waved by a fish.",NA,2
"47","Pie was raised by the letter.","nonsense",51
"48","Pie was raised by the letter.","sense",14
"49","Pie was raised by the letter.",NA,1
"50","Pizza was cooked by the man.","nonsense",2
"51","Pizza was cooked by the man.","sense",48
"52","Pizza was cooked by the man.",NA,2
"53","Soup was served by a woman.","nonsense",5
"54","Soup was served by a woman.","sense",44
"55","The banker counted the money.","nonsense",5
"56","The banker counted the money.","sense",47
"57","The banker counted the money.",NA,1
"58","The boy cleared off the table.","nonsense",3
"59","The boy cleared off the table.","sense",47
"60","The couch sang to the duck.","nonsense",41
"61","The couch sang to the duck.","sense",5
"62","The couch sang to the duck.",NA,1
"63","The ear dressed a student.","nonsense",42
"64","The ear dressed a student.","sense",3
"65","The ear dressed a student.",NA,2
"66","The girl was told by a fork.","nonsense",48
"67","The girl was told by a fork.","sense",4
"68","The girl was told by a fork.",NA,3
"69","The iron borrowed a teacher.","nonsense",54
"70","The iron borrowed a teacher.","sense",2
"71","The iron borrowed a teacher.",NA,2
"72","The lamp was bought by the sister.","nonsense",6
"73","The lamp was bought by the sister.","sense",41
"74","The lamp was bought by the sister.",NA,7
"75","The queen planted a flower.","nonsense",2
"76","The queen planted a flower.","sense",52
"77","The queen planted a flower.",NA,1
"78","The shirt was stained by mud.","nonsense",12
"79","The shirt was stained by mud.","sense",32
"80","The shirt was stained by mud.",NA,2
"81","The show was seen by a child.","nonsense",5
"82","The show was seen by a child.","sense",39
"83","The show was seen by a child.",NA,3
"84","The snake asked for the father.","nonsense",51
"85","The snake asked for the father.","sense",3
"86","The uncle put sugar in the tea.","nonsense",3
"87","The uncle put sugar in the tea.","sense",41
"88","The uncle put sugar in the tea.",NA,2
"89","A boat raced in the library.","nonsense",34
"90","A boat raced in the library.",NA,1
"91","A chicken was asked by a bell.","nonsense",34
"92","A chicken was asked by a bell.","sense",1
"93","A chicken was asked by a bell.",NA,1
"94","A clown let go of a balloon.","nonsense",1
"95","A clown let go of a balloon.","sense",34
"96","A clown let go of a balloon.",NA,2
"97","A cousin wanted a pillow.","nonsense",9
"98","A cousin wanted a pillow.","sense",27
"99","A cousin wanted a pillow.",NA,2
"100","A falcon grabbed the egg.","nonsense",11
"101","A falcon grabbed the egg.","sense",23
"102","A falcon grabbed the egg.",NA,1
