"subind","runnum","outliers"
"0_009","1",25
"0_009","2",29
"0_009","3",138
"0_013","1",1
"0_013","2",8
"0_013","3",60
"0_023","1",15
"0_025","1",34
"0_025","2",121
"0_026","1",67
"1_001","1",0
"1_001","1",10
"1_001","2",7
"1_001","3",32
"1_002","1",5
"1_002","1",127
"1_002","2",13
"1_002","3",52
"1_004","1",7
"1_004","2",80
"1_004","3",36
"1_007","1",42
"1_007","2",29
"1_007","3",74
"1_015","1",7
"1_015","2",8
"1_015","3",21
"1_020","1",7
"1_020","2",4
"1_020","3",3
"1_028","1",14
"1_028","2",22
"2_003","1",4
"2_005","1",29
"2_005","2",118
"2_005","3",38
"2_008","1",0
"2_008","1",0
"2_008","2",3
"2_008","3",0
"2_010","1",0
"2_010","2",35
"2_010","3",35
"2_011","1",12
"2_011","2",12
"2_027","1",0
"2_027","2",0
"2_027","3",22
"2_031","1",46
"2_031","2",62
"2_031","3",29
