"subind","runnum","outliers"
"c_018","1",0
"c_018","2",0
"c_018","3",38
"c_032","1",78
"c_032","2",70
"c_032","3",76
"c_037","1",4
"c_037","2",26
"c_037","3",90
"c_039","1",29
"c_039","2",29
"c_039","3",37
"c_040","1",39
"c_043","1",8
"c_043","2",24
"c_043","3",36
"c_044","1",0
"c_044","2",0
"c_045","1",24
"c_045","2",24
"c_046","1",76
"c_046","2",1
"c_046","2",115
"c_046","3",2
"c_046","3",79
"c_047","1",61
"c_047","2",48
"c_054","1",0
"c_054","1",57
"c_054","2",33
"c_054","3",90
"c_057","1",45
"c_057","2",101
"c_057","3",69
"c_058","1",72
"c_058","2",107
"c_058","3",1
"c_058","3",32
"c_059","1",1
"c_059","2",24
"c_059","3",31
"c_061","1",0
"c_061","2",10
"c_061","3",31
"c_062","1",23
"c_062","2",44
"c_068","1",88
"c_068","2",14
"c_068","3",45
"c_078","1",14
"c_078","2",31
"c_078","3",149
"c_079","1",0
"c_079","2",0
"c_079","3",0
"c_081","1",22
"c_081","2",10
"c_081","3",12
"c_082","1",4
"c_082","2",6
"c_082","3",6
"c_084","1",0
"c_084","2",0
"c_084","3",2
"c_085","1",0
"c_085","2",4
"c_085","3",66
"c_086","1",14
"c_086","2",12
"c_086","3",26
"c_101","1",7
"c_101","2",47
"c_101","3",10
