"subind","runnum","outliers"
"1496_2_third","1",47
"1496_2_third","2",11
"1496_2_third","3",59
"1589_2_third","1",60
"1589_2_third","2",56
"1589_2_third","3",1
"1690_2_third","1",5
"1690_2_third","2",9
"1690_2_third","3",8
"1697_1_third","1",1
"1697_1_third","2",2
"1697_1_third","3",45
"2079_2_third","1",4
"2079_2_third","2",3
"2079_2_third","3",1
"2167_2_third","1",16
"2167_2_third","2",15
"2167_2_third","3",39
"2416_1_third","1",7
"2416_1_third","2",54
"2416_1_third","3",65
"2479_1_third","1",1
"2479_1_third","2",12
"2479_1_third","3",0
"2569_2_third","1",0
"2569_2_third","2",0
"2569_2_third","3",5
"2798_1_third","1",22
"2798_1_third","2",66
