"subind","runnum","outliers"
"8960_c_second","1",20
"8960_c_second","2",2
"8960_c_second","3",58
"8961_c_second","1",5
"8961_c_second","2",15
"8961_c_second","3",22
"8963_c_second","1",35
"8963_c_second","2",6
"8963_c_second","3",16
"8967_c_second","1",1
"8967_c_second","2",10
"8967_c_second","3",66
"8972_c_second","1",12
"8972_c_second","2",43
"8972_c_second","3",76
"8973_c_second","1",63
"8973_c_second","2",30
"8974_c_second","1",42
"8974_c_second","2",86
"8974_c_second","3",93
"8976_c_second","1",6
"8976_c_second","1",88
