"subind","runnum","outliers","group"
"c_018","1",4,6
"c_018","2",1,6
"c_032","1",9,6
"c_032","2",5,6
"c_037","1",3,6
"c_037","2",18,6
"c_039","1",14,6
"c_039","2",22,6
"c_043","1",1,6
"c_043","2",1,6
"c_044","1",0,6
"c_044","2",10,6
"c_045","1",7,6
"c_045","2",31,6
"c_046","1",6,6
"c_046","2",39,6
"c_047","1",42,6
"c_047","2",84,6
"c_054","1",42,6
"c_054","2",27,6
"c_057","1",3,6
"c_057","2",59,6
"c_058","1",0,6
"c_058","1",26,6
"c_058","2",50,6
"c_059","1",7,6
"c_059","2",2,6
"c_061","1",0,6
"c_061","2",15,6
"c_062","1",16,6
"c_062","2",19,6
"c_068","1",2,6
"c_068","2",31,6
"c_078","1",8,6
"c_078","2",1,6
"c_079","1",0,6
"c_079","2",0,6
"c_081","1",14,6
"c_081","2",16,6
"c_082","1",1,6
"c_082","2",0,6
"c_084","1",0,6
"c_084","2",0,6
"c_085","1",0,6
"c_085","2",8,6
"c_086","1",0,6
"c_086","2",25,6
"c_101","1",11,6
"c_101","2",0,6
