"subind","runnum","outliers","group"
"1496_2_third","1",24,5
"1496_2_third","2",12,5
"1589_2_third","1",8,5
"1589_2_third","2",1,5
"1690_2_third","1",2,5
"1690_2_third","2",37,5
"1697_1_third","1",3,5
"1697_1_third","2",20,5
"2079_2_third","1",4,5
"2079_2_third","2",3,5
"2167_2_third","1",3,5
"2167_2_third","2",8,5
"2416_1_third","1",8,5
"2416_1_third","2",10,5
"2416_1_third","2",42,5
"2479_1_third","1",0,5
"2479_1_third","2",7,5
"2569_2_third","1",0,5
"2569_2_third","2",4,5
"2798_1_third","1",2,5
"2798_1_third","1",22,5
