"","subnum","runnum","vif","value"
"1","0_009","Run1","des.matV1",2.24206176282015
"2","0_009","Run1","des.matV2",1.33086354389978
"3","0_009","Run1","des.matV3",2.64988392689888
"4","0_009","Run1","des.matV4",1.58901928684596
"5","0_009","Run1","des.matV5",2.56930380363061
"6","0_009","Run1","des.matV6",1.56121696940191
"7","0_009","Run1","des.matV7",2.1572472996969
"8","0_009","Run1","des.matV8",1.40198475001987
"9","0_009","Run1","des.matV9",3.29809046290746
"10","0_009","Run1","des.matV10",1.74220126386323
"11","0_009","Run1","des.matV11",1.40455492961131
"12","0_009","Run1","des.matV12",1.13740583752552
"13","0_009","Run1","des.matV13",1.75338689146239
"14","0_009","Run1","des.matV14",1.46132065454025
"15","0_009","Run2","des.matV1",2.24360978695983
"16","0_009","Run2","des.matV2",1.47172004949188
"17","0_009","Run2","des.matV3",1.70338572170139
"18","0_009","Run2","des.matV4",1.25643524298398
"19","0_009","Run2","des.matV5",2.40012816372988
"20","0_009","Run2","des.matV6",1.49905229795523
"21","0_009","Run2","des.matV7",2.08012344388348
"22","0_009","Run2","des.matV8",1.53488853625238
"23","0_009","Run2","des.matV9",1.98043528138073
"24","0_009","Run2","des.matV10",1.54490940858213
"25","0_009","Run2","des.matV11",NA
"26","0_009","Run2","des.matV12",NA
"27","0_009","Run2","des.matV13",1.6665065197598
"28","0_009","Run2","des.matV14",1.43283766850569
"29","0_013","Run1","des.matV1",2.18147894707584
"30","0_013","Run1","des.matV2",1.27389142433223
"31","0_013","Run1","des.matV3",2.0166284868904
"32","0_013","Run1","des.matV4",1.38832295414881
"33","0_013","Run1","des.matV5",1.86631366185309
"34","0_013","Run1","des.matV6",1.47816141147476
"35","0_013","Run1","des.matV7",2.0918171078807
"36","0_013","Run1","des.matV8",1.48088109669755
"37","0_013","Run1","des.matV9",1.51089774950714
"38","0_013","Run1","des.matV10",1.20053464266622
"39","0_013","Run1","des.matV11",1.08323752469169
"40","0_013","Run1","des.matV12",1.17636455971885
"41","0_013","Run1","des.matV13",1.17618576783609
"42","0_013","Run1","des.matV14",1.13711279845768
"43","0_013","Run2","des.matV1",2.1984682862584
"44","0_013","Run2","des.matV2",1.46198514872157
"45","0_013","Run2","des.matV3",2.11144843457642
"46","0_013","Run2","des.matV4",1.35640122968428
"47","0_013","Run2","des.matV5",1.86186959539708
"48","0_013","Run2","des.matV6",1.41869453353835
"49","0_013","Run2","des.matV7",2.06404015383581
"50","0_013","Run2","des.matV8",1.60168485913096
"51","0_013","Run2","des.matV9",1.76525671972096
"52","0_013","Run2","des.matV10",1.20534795997914
"53","0_013","Run2","des.matV11",2.05153452662528
"54","0_013","Run2","des.matV12",1.28169682252706
"55","0_013","Run2","des.matV13",2.27233429477186
"56","0_013","Run2","des.matV14",1.42949624753139
"57","0_013","Run3","des.matV1",2.38460635353334
"58","0_013","Run3","des.matV2",1.8165851023172
"59","0_013","Run3","des.matV3",2.8451455503127
"60","0_013","Run3","des.matV4",1.96241638921362
"61","0_013","Run3","des.matV5",2.79413554912866
"62","0_013","Run3","des.matV6",2.03197519051651
"63","0_013","Run3","des.matV7",2.39482807116441
"64","0_013","Run3","des.matV8",2.04061843719062
"65","0_013","Run3","des.matV9",2.43876490168666
"66","0_013","Run3","des.matV10",1.63082109355472
"67","0_013","Run3","des.matV11",1.50384822554696
"68","0_013","Run3","des.matV12",2.36090225178206
"69","0_013","Run3","des.matV13",2.44209883523506
"70","0_013","Run3","des.matV14",1.98459810089097
"71","0_025","Run1","des.matV1",2.05920281685276
"72","0_025","Run1","des.matV2",1.46299803978556
"73","0_025","Run1","des.matV3",1.87872038091009
