"","subnum","runnum","vif","value"
"1","0_009","Run1","des.matV1",2.07969949593858
"2","0_009","Run1","des.matV2",1.3623376012244
"3","0_009","Run1","des.matV3",2.79674585642822
"4","0_009","Run1","des.matV4",1.58648810099366
"5","0_009","Run1","des.matV5",2.58930273179792
"6","0_009","Run1","des.matV6",1.61243306996838
"7","0_009","Run1","des.matV7",1.94453959582498
"8","0_009","Run1","des.matV8",1.57040569470251
"9","0_009","Run1","des.matV9",3.21114400409031
"10","0_009","Run1","des.matV10",1.93149249584193
"11","0_009","Run1","des.matV11",1.37210613057449
"12","0_009","Run1","des.matV12",1.09388689271883
"13","0_009","Run1","des.matV13",1.84163404290597
"14","0_009","Run1","des.matV14",1.59035717390684
"15","0_009","Run2","des.matV1",2.48020986860775
"16","0_009","Run2","des.matV2",1.38458078018363
"17","0_009","Run2","des.matV3",1.92615550665439
"18","0_009","Run2","des.matV4",1.3727899341449
"19","0_009","Run2","des.matV5",2.41560678032643
"20","0_009","Run2","des.matV6",1.60249647217939
"21","0_009","Run2","des.matV7",2.03000447981912
"22","0_009","Run2","des.matV8",1.57825110686972
"23","0_009","Run2","des.matV9",2.09510840590403
"24","0_009","Run2","des.matV10",1.48931301623151
"25","0_009","Run2","des.matV11",1.36132988407198
"26","0_009","Run2","des.matV12",1.34105252131813
"27","0_009","Run2","des.matV13",1.88112175324354
"28","0_009","Run2","des.matV14",1.69000625341122
"29","0_013","Run1","des.matV1",2.10132576921858
"30","0_013","Run1","des.matV2",1.27084272321373
"31","0_013","Run1","des.matV3",2.08825659443005
"32","0_013","Run1","des.matV4",1.36524836066089
"33","0_013","Run1","des.matV5",1.8414310555709
"34","0_013","Run1","des.matV6",1.3686863833582
"35","0_013","Run1","des.matV7",2.09489385682312
"36","0_013","Run1","des.matV8",1.44760650478362
"37","0_013","Run1","des.matV9",1.47527040836729
"38","0_013","Run1","des.matV10",1.17643759140568
"39","0_013","Run1","des.matV11",1.09608863802813
"40","0_013","Run1","des.matV12",1.19269139300479
"41","0_013","Run1","des.matV13",1.17856847594679
"42","0_013","Run1","des.matV14",1.16582601747334
"43","0_013","Run2","des.matV1",2.20321182275945
"44","0_013","Run2","des.matV2",1.50804838496864
"45","0_013","Run2","des.matV3",2.0859329114874
"46","0_013","Run2","des.matV4",1.31252371133923
"47","0_013","Run2","des.matV5",1.74838946526773
"48","0_013","Run2","des.matV6",1.37030653617653
"49","0_013","Run2","des.matV7",2.03030675370988
"50","0_013","Run2","des.matV8",1.62541391001703
"51","0_013","Run2","des.matV9",1.81795105388989
"52","0_013","Run2","des.matV10",1.23381346285896
"53","0_013","Run2","des.matV11",2.12363251573534
"54","0_013","Run2","des.matV12",1.47110218519625
"55","0_013","Run2","des.matV13",2.38567918078153
"56","0_013","Run2","des.matV14",1.44416222648374
"57","0_013","Run3","des.matV1",2.34298575674038
"58","0_013","Run3","des.matV2",1.85562211414095
"59","0_013","Run3","des.matV3",2.69367046633272
"60","0_013","Run3","des.matV4",1.84646787861262
"61","0_013","Run3","des.matV5",2.80246527402834
"62","0_013","Run3","des.matV6",1.78845451841543
"63","0_013","Run3","des.matV7",2.43627893888719
"64","0_013","Run3","des.matV8",1.98910049006712
"65","0_013","Run3","des.matV9",2.59057171358918
"66","0_013","Run3","des.matV10",1.91312563467024
"67","0_013","Run3","des.matV11",2.55571101891483
"68","0_013","Run3","des.matV12",2.81175759216322
"69","0_013","Run3","des.matV13",2.26957776495439
"70","0_013","Run3","des.matV14",2.18884440307059
"71","0_018","Run1","des.matV1",2.25936168018465
"72","0_018","Run1","des.matV2",1.42814768138089
"73","0_018","Run1","des.matV3",1.76655746784084
"74","0_018","Run1","des.matV4",1.23430002377065
"75","0_018","Run1","des.matV5",1.89276806598995
"76","0_018","Run1","des.matV6",1.35364679847137
"77","0_018","Run1","des.matV7",1.89527225172429
"78","0_018","Run1","des.matV8",1.42500935100731
"79","0_018","Run1","des.matV9",2.0126257536643
"80","0_018","Run1","des.matV10",1.27477921181745
