"","subnum","runnum","vif","value"
"585","2_031","Run3","des.matV11",11.1220453329331
"586","2_031","Run3","des.matV12",177.674555138423
"1187","0_068_third","Run3","des.matV11",17.3475099809999
"1188","0_068_third","Run3","des.matV12",14.0857343281989
"1229","1_001_third","Run3","des.matV11",21.7114422602742
"1230","1_001_third","Run3","des.matV12",11.9218474860442
"1299","1_007_third","Run2","des.matV11",29.9862917922068
"1300","1_007_third","Run2","des.matV12",12.096367827306
"1635","ldrc2_0_123","Run3","des.matV11",221.273801145188
"1636","ldrc2_0_123","Run3","des.matV12",32.3902173562839
"2055","ldrc2_1_152","Run2","des.matV11",17.2638979493774
"2403","drc2_0_145_second","Run3","des.matV9",13.4208559741725
"2404","drc2_0_145_second","Run3","des.matV10",11.807384204923
"2434","drc2_1_129_second","Run1","des.matV12",62.968387758444
"2503","drc2_1_133_second","Run3","des.matV11",141.59489658219
"2504","drc2_1_133_second","Run3","des.matV12",17.4261744504185
"3201","ldrc3_1_242","Run1","des.matV9",33.5762578400657
"3202","ldrc3_1_242","Run1","des.matV10",13.9134287815338
"3623","c_062","Run2","des.matV11",17.8945786492195
"3831","c_085","Run3","des.matV9",26.6605803542537
"3832","c_085","Run3","des.matV10",16.5746771555058
