"","subnum","runnum","vif","value"
"289","1_007","Run2","des.matV9",NA
"290","1_007","Run2","des.matV10",NA
"401","2_008","Run1","des.matV9",NA
"402","2_008","Run1","des.matV10",NA
"891","2_005_second","Run1","des.matV9",NA
"892","2_005_second","Run1","des.matV10",NA
"1269","1_004_third","Run3","des.matV9",NA
"1270","1_004_third","Run3","des.matV10",NA
"1381","2_005_third","Run1","des.matV9",NA
"1382","2_005_third","Run1","des.matV10",NA
"1535","2_034_third","Run3","des.matV9",NA
"1536","2_034_third","Run3","des.matV10",NA
"1899","ldrc2_0_172","Run3","des.matV9",NA
"1900","ldrc2_0_172","Run3","des.matV10",NA
"2067","ldrc2_1_157","Run1","des.matV9",NA
"2068","ldrc2_1_157","Run1","des.matV10",NA
"2179","drc2_0_122_second","Run3","des.matV9",NA
"2180","drc2_0_122_second","Run3","des.matV10",NA
"2305","drc2_0_140_second","Run2","des.matV9",NA
"2306","drc2_0_140_second","Run2","des.matV10",NA
"2389","drc2_0_145_second","Run2","des.matV9",NA
"2390","drc2_0_145_second","Run2","des.matV10",NA
"2417","drc2_1_115_second","Run1","des.matV9",NA
"2418","drc2_1_115_second","Run1","des.matV10",NA
"2445","drc2_1_129_second","Run2","des.matV9",NA
"2446","drc2_1_129_second","Run2","des.matV10",NA
"3061","ldrc3_1_224","Run3","des.matV9",NA
"3062","ldrc3_1_224","Run3","des.matV10",NA
"3313","c_037","Run2","des.matV9",NA
"3314","c_037","Run2","des.matV10",NA
"3453","c_045","Run2","des.matV9",NA
"3454","c_045","Run2","des.matV10",NA
"3481","c_046","Run3","des.matV9",NA
"3482","c_046","Run3","des.matV10",NA
"3551","c_059","Run3","des.matV9",NA
"3552","c_059","Run3","des.matV10",NA
"3775","c_084","Run1","des.matV9",NA
"3776","c_084","Run1","des.matV10",NA
"3789","c_084","Run2","des.matV9",NA
"3790","c_084","Run2","des.matV10",NA
"3873","c_086","Run3","des.matV9",NA
"3874","c_086","Run3","des.matV10",NA
