"","subnum","runnum","vif","value"
"205","1_007","Run2","des.matV9",NA
"206","1_007","Run2","des.matV10",NA
"317","2_008","Run1","des.matV9",NA
"318","2_008","Run1","des.matV10",NA
"359","2_010","Run1","des.matV9",NA
"360","2_010","Run1","des.matV10",NA
"835","2_005_second","Run1","des.matV9",NA
"836","2_005_second","Run1","des.matV10",NA
"1185","1_004_third","Run3","des.matV9",NA
"1186","1_004_third","Run3","des.matV10",NA
"1297","2_005_third","Run1","des.matV9",NA
"1298","2_005_third","Run1","des.matV10",NA
"1451","2_034_third","Run3","des.matV9",NA
"1452","2_034_third","Run3","des.matV10",NA
"1745","ldrc2_0_145","Run3","des.matV9",NA
"1746","ldrc2_0_145","Run3","des.matV10",NA
"1829","ldrc2_0_172","Run3","des.matV9",NA
"1830","ldrc2_0_172","Run3","des.matV10",NA
"1997","ldrc2_1_157","Run1","des.matV9",NA
"1998","ldrc2_1_157","Run1","des.matV10",NA
"2529","LDFHO10238_1","Run1","des.matV9",NA
"2530","LDFHO10238_1","Run1","des.matV10",NA
"2795","c_037","Run2","des.matV9",NA
"2796","c_037","Run2","des.matV10",NA
"2935","c_045","Run2","des.matV9",NA
"2936","c_045","Run2","des.matV10",NA
"2963","c_046","Run3","des.matV9",NA
"2964","c_046","Run3","des.matV10",NA
"3047","c_059","Run3","des.matV9",NA
"3048","c_059","Run3","des.matV10",NA
"3285","c_084","Run1","des.matV9",NA
"3286","c_084","Run1","des.matV10",NA
"3299","c_084","Run2","des.matV9",NA
"3300","c_084","Run2","des.matV10",NA
"3383","c_086","Run3","des.matV9",NA
"3384","c_086","Run3","des.matV10",NA
"3397","c_101","Run1","des.matV9",NA
"3398","c_101","Run1","des.matV10",NA
"3425","c_101","Run3","des.matV9",NA
"3426","c_101","Run3","des.matV10",NA
"3537","8961_c_second","Run3","des.matV9",NA
"3538","8961_c_second","Run3","des.matV10",NA
"3593","8967_c_second","Run1","des.matV9",NA
"3594","8967_c_second","Run1","des.matV10",NA
"3691","8974_c_second","Run2","des.matV9",NA
"3692","8974_c_second","Run2","des.matV10",NA
"3747","8961_c_third","Run1","des.matV9",NA
"3748","8961_c_third","Run1","des.matV10",NA
