"","subnum","runnum","vif","value"
"1","0_009","Run1","des.matV1",2.72739372093494
"2","0_009","Run1","des.matV2",2.49811675162289
"3","0_009","Run1","des.matV3",2.05062899390044
"4","0_009","Run1","des.matV4",2.08257149672096
"5","0_009","Run1","des.matV5",2.1343747490305
"6","0_009","Run1","des.matV6",1.82443938901925
"7","0_009","Run1","des.matV7",1.98154488410434
"8","0_009","Run1","des.matV8",1.76676246032204
"9","0_009","Run1","des.matV9",1.57642283195043
"10","0_009","Run1","des.matV10",1.5313784228256
"11","0_009","Run1","des.matV11",1.5413367215797
"12","0_009","Run1","des.matV12",1.37047686215037
"13","0_009","Run2","des.matV1",2.2243238615156
"14","0_009","Run2","des.matV2",2.02128876206466
"15","0_009","Run2","des.matV3",1.40201720108664
"16","0_009","Run2","des.matV4",1.15759148638781
"17","0_009","Run2","des.matV5",1.53650768379389
"18","0_009","Run2","des.matV6",1.39867904211044
"19","0_009","Run2","des.matV7",2.15976987668571
"20","0_009","Run2","des.matV8",1.86848537140679
"21","0_009","Run2","des.matV9",1.62530988157861
"22","0_009","Run2","des.matV10",1.37160263386789
"23","0_009","Run2","des.matV11",1.20918853100664
"24","0_009","Run2","des.matV12",1.22229868889339
"25","0_025","Run1","des.matV1",3.0725917642651
"26","0_025","Run1","des.matV2",2.60846845521844
"27","0_025","Run1","des.matV3",2.03382654022916
"28","0_025","Run1","des.matV4",2.09964530606546
"29","0_025","Run1","des.matV5",2.12710827668383
"30","0_025","Run1","des.matV6",1.82304272418013
"31","0_025","Run1","des.matV7",1.81713714862117
"32","0_025","Run1","des.matV8",1.66670514143561
"33","0_025","Run1","des.matV9",1.69978803678264
"34","0_025","Run1","des.matV10",1.53200625824478
"35","0_025","Run1","des.matV11",1.43979871900039
"36","0_025","Run1","des.matV12",1.35528270384144
"37","0_026","Run1","des.matV1",2.4510717802326
"38","0_026","Run1","des.matV2",2.15020892750326
"39","0_026","Run1","des.matV3",1.76433331537955
"40","0_026","Run1","des.matV4",1.69130107550296
"41","0_026","Run1","des.matV5",1.84881730161644
"42","0_026","Run1","des.matV6",1.57778010123949
"43","0_026","Run1","des.matV7",2.07819031944858
"44","0_026","Run1","des.matV8",1.92631511397811
"45","0_026","Run1","des.matV9",1.53556190505533
"46","0_026","Run1","des.matV10",1.41138556235404
"47","0_026","Run1","des.matV11",1.51931177941864
"48","0_026","Run1","des.matV12",1.36160947119582
"49","0_026","Run2","des.matV1",3.09078759310581
"50","0_026","Run2","des.matV2",2.90709617050993
"51","0_026","Run2","des.matV3",1.27814043404772
"52","0_026","Run2","des.matV4",1.31478212834879
"53","0_026","Run2","des.matV5",1.98645407584251
"54","0_026","Run2","des.matV6",1.96660988174692
"55","0_026","Run2","des.matV7",3.01821580827394
"56","0_026","Run2","des.matV8",2.38280426078846
"57","0_026","Run2","des.matV9",1.69008740167213
"58","0_026","Run2","des.matV10",1.40277037757176
"59","0_026","Run2","des.matV11",3.21573957009887
"60","0_026","Run2","des.matV12",2.19993106001689
"61","1_004","Run1","des.matV1",3.30032775484011
"62","1_004","Run1","des.matV2",2.77267866900096
"63","1_004","Run1","des.matV3",1.49464759765786
"64","1_004","Run1","des.matV4",1.193401657165
"65","1_004","Run1","des.matV5",2.95205671842225
"66","1_004","Run1","des.matV6",2.32098594644586
"67","1_004","Run1","des.matV7",1.60485196675573
"68","1_004","Run1","des.matV8",1.49562141086169
"69","1_004","Run1","des.matV9",1.61081457938274
"70","1_004","Run1","des.matV10",1.33505649577781
"71","1_004","Run1","des.matV11",1.32492442223165
"72","1_004","Run1","des.matV12",1.36389710514706
"73","1_004","Run2","des.matV1",3.05056830091919
"74","1_004","Run2","des.matV2",2.51193501842247
"75","1_004","Run2","des.matV3",1.14105034000145
"76","1_004","Run2","des.matV4",1.06132680027684
"77","1_004","Run2","des.matV5",1.92458944144991
"78","1_004","Run2","des.matV6",1.71577899806015
"79","1_004","Run2","des.matV7",2.06394186289802
"80","1_004","Run2","des.matV8",1.74751288844186
"81","1_004","Run2","des.matV9",1.93449154465714
"82","1_004","Run2","des.matV10",1.50695616018083
"83","1_004","Run2","des.matV11",1.4188312265596
"84","1_004","Run2","des.matV12",1.35789808565262
"85","1_007","Run1","des.matV1",2.34226817374199
"86","1_007","Run1","des.matV2",2.35318063481158
"87","1_007","Run1","des.matV3",50.3755484113187
"88","1_007","Run1","des.matV4",17.1962993990581
"89","1_007","Run1","des.matV5",1.88394985095602
"90","1_007","Run1","des.matV6",1.66094263698892
"91","1_007","Run1","des.matV7",2.40596693728189
"92","1_007","Run1","des.matV8",2.25903749879019
"93","1_007","Run1","des.matV9",1.7215583512
"94","1_007","Run1","des.matV10",1.51399627751045
"95","1_007","Run1","des.matV11",2.81230378125984
"96","1_007","Run1","des.matV12",2.86491015165554
"97","1_007","Run2","des.matV1",3.97753959854752
"98","1_007","Run2","des.matV2",3.78818622281294
"99","1_007","Run2","des.matV3",2.55520711701307
"100","1_007","Run2","des.matV4",2.8303791643503
"101","1_007","Run2","des.matV5",3.75417731870253
"102","1_007","Run2","des.matV6",3.17881143568588
"103","1_007","Run2","des.matV7",3.07851670221632
"104","1_007","Run2","des.matV8",2.94599727013429
"105","1_007","Run2","des.matV9",2.84386200585438
"106","1_007","Run2","des.matV10",2.98678303594009
"107","1_007","Run2","des.matV11",2.96955236013819
"108","1_007","Run2","des.matV12",6.09559357662867
"109","1_015","Run1","des.matV1",2.72018836890597
"110","1_015","Run1","des.matV2",2.49878414035049
"111","1_015","Run1","des.matV3",1.4015531478707
"112","1_015","Run1","des.matV4",1.27940988250187
"113","1_015","Run1","des.matV5",2.17800535463429
"114","1_015","Run1","des.matV6",1.78981567600298
"115","1_015","Run1","des.matV7",1.81093490987526
"116","1_015","Run1","des.matV8",2.0509228335567
"117","1_015","Run1","des.matV9",1.49912964949761
"118","1_015","Run1","des.matV10",1.5158201885949
"119","1_015","Run1","des.matV11",1.78733950965226
"120","1_015","Run1","des.matV12",1.60289157056114
"121","1_015","Run2","des.matV1",2.33562294807285
"122","1_015","Run2","des.matV2",2.1826090919919
"123","1_015","Run2","des.matV3",1.48247410756705
"124","1_015","Run2","des.matV4",1.41200326983463
"125","1_015","Run2","des.matV5",1.61977256342166
"126","1_015","Run2","des.matV6",1.44461483905284
"127","1_015","Run2","des.matV7",2.03142517273556
"128","1_015","Run2","des.matV8",2.02830668486886
"129","1_015","Run2","des.matV9",1.52533348311671
"130","1_015","Run2","des.matV10",1.43542481575565
"131","1_015","Run2","des.matV11",1.51524097224056
"132","1_015","Run2","des.matV12",1.6117231299695
"133","1_020","Run1","des.matV1",2.11064704148121
"134","1_020","Run1","des.matV2",2.14429048056563
"135","1_020","Run1","des.matV3",NA
"136","1_020","Run1","des.matV4",NA
"137","1_020","Run1","des.matV5",1.6398249630307
"138","1_020","Run1","des.matV6",1.65675885412364
