"","subnum","runnum","vif","value"
"1","0_009","Run1","des.matV1",2.72739372093494
"2","0_009","Run1","des.matV2",2.49811675162289
"3","0_009","Run1","des.matV3",2.05062899390044
"4","0_009","Run1","des.matV4",2.08257149672096
"5","0_009","Run1","des.matV5",2.1343747490305
"6","0_009","Run1","des.matV6",1.82443938901925
"7","0_009","Run1","des.matV7",1.98154488410434
"8","0_009","Run1","des.matV8",1.76676246032204
"9","0_009","Run1","des.matV9",1.57642283195043
"10","0_009","Run1","des.matV10",1.5313784228256
"11","0_009","Run1","des.matV11",1.5413367215797
"12","0_009","Run1","des.matV12",1.37047686215037
"13","0_009","Run2","des.matV1",2.26852008681974
"14","0_009","Run2","des.matV2",2.11298822932408
"15","0_009","Run2","des.matV3",1.40481149961029
"16","0_009","Run2","des.matV4",1.17593687220247
"17","0_009","Run2","des.matV5",1.54379409638711
"18","0_009","Run2","des.matV6",1.40259898081915
"19","0_009","Run2","des.matV7",2.23261931458271
"20","0_009","Run2","des.matV8",1.914937347323
"21","0_009","Run2","des.matV9",1.66171365308468
"22","0_009","Run2","des.matV10",1.37677739424714
"23","0_009","Run2","des.matV11",1.2157075806618
"24","0_009","Run2","des.matV12",1.23418094393624
"25","0_018","Run1","des.matV1",2.84989623543054
"26","0_018","Run1","des.matV2",2.85920812200966
"27","0_018","Run1","des.matV3",2.03102959476201
"28","0_018","Run1","des.matV4",1.7060978998329
"29","0_018","Run1","des.matV5",2.18206135746396
"30","0_018","Run1","des.matV6",2.1956442181564
"31","0_018","Run1","des.matV7",1.59264102904003
"32","0_018","Run1","des.matV8",1.59426579754071
"33","0_018","Run1","des.matV9",1.45763822193569
"34","0_018","Run1","des.matV10",1.4040272861999
"35","0_018","Run1","des.matV11",4.75849131182407
"36","0_018","Run1","des.matV12",2.77893701950019
"37","0_018","Run2","des.matV1",2.34377702087174
"38","0_018","Run2","des.matV2",2.10481028616215
"39","0_018","Run2","des.matV3",1.4637731211832
"40","0_018","Run2","des.matV4",1.52188437259138
"41","0_018","Run2","des.matV5",2.25684491412593
"42","0_018","Run2","des.matV6",1.86494149981536
"43","0_018","Run2","des.matV7",1.74908474941901
"44","0_018","Run2","des.matV8",1.65774330654239
"45","0_018","Run2","des.matV9",1.40771445487544
"46","0_018","Run2","des.matV10",1.40563476139005
"47","0_018","Run2","des.matV11",1.30613437434647
"48","0_018","Run2","des.matV12",1.21322710011153
"49","0_025","Run1","des.matV1",3.0725917642651
"50","0_025","Run1","des.matV2",2.60846845521844
"51","0_025","Run1","des.matV3",2.03382654022916
"52","0_025","Run1","des.matV4",2.09964530606546
"53","0_025","Run1","des.matV5",2.12710827668383
"54","0_025","Run1","des.matV6",1.82304272418013
"55","0_025","Run1","des.matV7",1.81713714862117
"56","0_025","Run1","des.matV8",1.66670514143561
"57","0_025","Run1","des.matV9",1.69978803678264
"58","0_025","Run1","des.matV10",1.53200625824478
"59","0_025","Run1","des.matV11",1.43979871900039
"60","0_025","Run1","des.matV12",1.35528270384144
"61","0_026","Run1","des.matV1",2.4510717802326
"62","0_026","Run1","des.matV2",2.15020892750326
"63","0_026","Run1","des.matV3",1.76433331537955
"64","0_026","Run1","des.matV4",1.69130107550296
"65","0_026","Run1","des.matV5",1.84881730161644
"66","0_026","Run1","des.matV6",1.57778010123949
"67","0_026","Run1","des.matV7",2.07819031944858
"68","0_026","Run1","des.matV8",1.92631511397811
"69","0_026","Run1","des.matV9",1.53556190505533
"70","0_026","Run1","des.matV10",1.41138556235404
"71","0_026","Run1","des.matV11",1.51931177941864
"72","0_026","Run1","des.matV12",1.36160947119582
"73","0_026","Run2","des.matV1",3.09078759310581
"74","0_026","Run2","des.matV2",2.90709617050993
"75","0_026","Run2","des.matV3",1.27814043404772
"76","0_026","Run2","des.matV4",1.31478212834879
"77","0_026","Run2","des.matV5",1.98645407584251
"78","0_026","Run2","des.matV6",1.96660988174692
"79","0_026","Run2","des.matV7",3.01821580827394
"80","0_026","Run2","des.matV8",2.38280426078846
"81","0_026","Run2","des.matV9",1.69008740167213
"82","0_026","Run2","des.matV10",1.40277037757176
"83","0_026","Run2","des.matV11",3.21573957009887
"84","0_026","Run2","des.matV12",2.19993106001689
"85","0_054","Run1","des.matV1",3.18040853132223
"86","0_054","Run1","des.matV2",3.19893282580021
"87","0_054","Run1","des.matV3",2.07660556209189
"88","0_054","Run1","des.matV4",1.42100908759783
"89","0_054","Run1","des.matV5",2.60058530177185
"90","0_054","Run1","des.matV6",2.66761858325224
"91","0_054","Run1","des.matV7",2.99974734814482
"92","0_054","Run1","des.matV8",2.82035844447286
"93","0_054","Run1","des.matV9",2.13006574779186
"94","0_054","Run1","des.matV10",2.04799071350681
"95","0_054","Run1","des.matV11",2.86819962065089
"96","0_054","Run1","des.matV12",2.66853617166735
"97","0_054","Run2","des.matV1",3.12958866849598
"98","0_054","Run2","des.matV2",2.98542425668384
"99","0_054","Run2","des.matV3",1.22081213187888
"100","0_054","Run2","des.matV4",1.11231462790349
"101","0_054","Run2","des.matV5",2.42697938293378
"102","0_054","Run2","des.matV6",2.79565514022159
"103","0_054","Run2","des.matV7",2.4966026091193
"104","0_054","Run2","des.matV8",2.081896984527
"105","0_054","Run2","des.matV9",1.46433170012006
"106","0_054","Run2","des.matV10",1.32726168773187
"107","0_054","Run2","des.matV11",1.60719074280011
"108","0_054","Run2","des.matV12",1.49609406106471
"109","0_057","Run2","des.matV1",5.04947112588093
"110","0_057","Run2","des.matV2",3.97066841989732
"111","0_057","Run2","des.matV3",46.9200647912826
"112","0_057","Run2","des.matV4",10.9245183731142
"113","0_057","Run2","des.matV5",3.38274418330585
"114","0_057","Run2","des.matV6",2.63365336461023
"115","0_057","Run2","des.matV7",2.78168921564017
"116","0_057","Run2","des.matV8",2.7892895054659
"117","0_057","Run2","des.matV9",2.69429934562102
"118","0_057","Run2","des.matV10",2.93611025848509
"119","0_057","Run2","des.matV11",2.84315320343401
"120","0_057","Run2","des.matV12",2.37445113908573
"121","1_004","Run1","des.matV1",3.30032775484011
"122","1_004","Run1","des.matV2",2.77267866900096
"123","1_004","Run1","des.matV3",1.49464759765786
"124","1_004","Run1","des.matV4",1.193401657165
"125","1_004","Run1","des.matV5",2.95205671842225
"126","1_004","Run1","des.matV6",2.32098594644586
"127","1_004","Run1","des.matV7",1.60485196675573
"128","1_004","Run1","des.matV8",1.49562141086169
"129","1_004","Run1","des.matV9",1.61081457938274
"130","1_004","Run1","des.matV10",1.33505649577781
"131","1_004","Run1","des.matV11",1.32492442223165
"132","1_004","Run1","des.matV12",1.36389710514706
"133","1_004","Run2","des.matV1",3.05056830091919
"134","1_004","Run2","des.matV2",2.51193501842247
"135","1_004","Run2","des.matV3",1.14105034000145
"136","1_004","Run2","des.matV4",1.06132680027684
"137","1_004","Run2","des.matV5",1.92458944144991
