"","subnum","runnum","vif","value"
"135","1_020","Run1","des.matV3",NA
"136","1_020","Run1","des.matV4",NA
"375","1_004_second","Run1","des.matV3",NA
"376","1_004_second","Run1","des.matV4",NA
"383","1_004_second","Run1","des.matV11",NA
"384","1_004_second","Run1","des.matV12",NA
"455","1_028_second","Run1","des.matV11",NA
"456","1_028_second","Run1","des.matV12",NA
"471","1_036_second","Run1","des.matV3",NA
"472","1_036_second","Run1","des.matV4",NA
"515","2_008_second","Run1","des.matV11",NA
"516","2_008_second","Run1","des.matV12",NA
"555","2_031_second","Run1","des.matV3",NA
"556","2_031_second","Run1","des.matV4",NA
"639","1_001_third","Run1","des.matV3",NA
"640","1_001_third","Run1","des.matV4",NA
"663","1_004_third","Run1","des.matV3",NA
"664","1_004_third","Run1","des.matV4",NA
"731","1_036_third","Run2","des.matV11",NA
"732","1_036_third","Run2","des.matV12",NA
"735","2_005_third","Run1","des.matV3",NA
"736","2_005_third","Run1","des.matV4",NA
"767","2_008_third","Run1","des.matV11",NA
"768","2_008_third","Run1","des.matV12",NA
"783","2_010_third","Run1","des.matV3",NA
"784","2_010_third","Run1","des.matV4",NA
"807","2_034_third","Run1","des.matV3",NA
"808","2_034_third","Run1","des.matV4",NA
"815","2_034_third","Run1","des.matV11",NA
"816","2_034_third","Run1","des.matV12",NA
"819","2_034_third","Run2","des.matV3",NA
"820","2_034_third","Run2","des.matV4",NA
"831","ldrc2_0_104","Run1","des.matV3",NA
"832","ldrc2_0_104","Run1","des.matV4",NA
"843","ldrc2_0_104","Run2","des.matV3",NA
"844","ldrc2_0_104","Run2","des.matV4",NA
"867","ldrc2_0_122","Run2","des.matV3",NA
"868","ldrc2_0_122","Run2","des.matV4",NA
"903","ldrc2_0_124","Run1","des.matV3",NA
"904","ldrc2_0_124","Run1","des.matV4",NA
"915","ldrc2_0_124","Run2","des.matV3",NA
"916","ldrc2_0_124","Run2","des.matV4",NA
"999","ldrc2_0_140","Run1","des.matV3",NA
"1000","ldrc2_0_140","Run1","des.matV4",NA
"1035","ldrc2_0_151","Run1","des.matV3",NA
"1036","ldrc2_0_151","Run1","des.matV4",NA
"1047","ldrc2_0_151","Run2","des.matV3",NA
"1048","ldrc2_0_151","Run2","des.matV4",NA
"1083","ldrc2_0_175","Run1","des.matV3",NA
"1084","ldrc2_0_175","Run1","des.matV4",NA
"1299","1986_1_second","Run2","des.matV3",NA
"1300","1986_1_second","Run2","des.matV4",NA
"1311","2436_2_second","Run1","des.matV3",NA
"1312","2436_2_second","Run1","des.matV4",NA
"1335","2569_2_second","Run1","des.matV3",NA
"1336","2569_2_second","Run1","des.matV4",NA
"1347","2569_2_second","Run2","des.matV3",NA
"1348","2569_2_second","Run2","des.matV4",NA
"1383","1589_2_third","Run1","des.matV3",NA
"1384","1589_2_third","Run1","des.matV4",NA
"1395","1690_2_third","Run1","des.matV3",NA
"1396","1690_2_third","Run1","des.matV4",NA
"1479","2416_1_third","Run1","des.matV3",NA
"1480","2416_1_third","Run1","des.matV4",NA
"1491","2416_1_third","Run2","des.matV3",NA
"1492","2416_1_third","Run2","des.matV4",NA
"1515","2479_1_third","Run2","des.matV3",NA
"1516","2479_1_third","Run2","des.matV4",NA
"1647","/LDFHO6598_0","Run1","des.matV3",NA
"1648","/LDFHO6598_0","Run1","des.matV4",NA
"1731","c_037","Run2","des.matV3",NA
"1732","c_037","Run2","des.matV4",NA
"1859","c_046","Run2","des.matV11",NA
"1860","c_046","Run2","des.matV12",NA
"1899","c_059","Run2","des.matV3",NA
"1900","c_059","Run2","des.matV4",NA
"1983","c_079","Run1","des.matV3",NA
"1984","c_079","Run1","des.matV4",NA
"1995","c_079","Run2","des.matV3",NA
"1996","c_079","Run2","des.matV4",NA
"2055","c_084","Run1","des.matV3",NA
"2056","c_084","Run1","des.matV4",NA
"2127","c_101","Run1","des.matV3",NA
"2128","c_101","Run1","des.matV4",NA
"2175","8960_c_second","Run1","des.matV3",NA
"2176","8960_c_second","Run1","des.matV4",NA
"2199","8961_c_second","Run1","des.matV3",NA
"2200","8961_c_second","Run1","des.matV4",NA
"2211","8961_c_second","Run2","des.matV3",NA
"2212","8961_c_second","Run2","des.matV4",NA
"2259","8974_c_second","Run1","des.matV3",NA
"2260","8974_c_second","Run1","des.matV4",NA
"2271","8960_c_third","Run1","des.matV3",NA
"2272","8960_c_third","Run1","des.matV4",NA
"2283","8960_c_third","Run2","des.matV3",NA
"2284","8960_c_third","Run2","des.matV4",NA
"2295","8963_c_third","Run1","des.matV3",NA
"2296","8963_c_third","Run1","des.matV4",NA
"2303","8963_c_third","Run1","des.matV11",NA
"2304","8963_c_third","Run1","des.matV12",NA
"2307","8963_c_third","Run2","des.matV3",NA
"2308","8963_c_third","Run2","des.matV4",NA
