"","subnum","runnum","vif","value"
"195","1_020","Run1","des.matV3",NA
"196","1_020","Run1","des.matV4",NA
"411","1_004_second","Run1","des.matV3",NA
"412","1_004_second","Run1","des.matV4",NA
"419","1_004_second","Run1","des.matV11",NA
"420","1_004_second","Run1","des.matV12",NA
"491","1_028_second","Run1","des.matV11",NA
"492","1_028_second","Run1","des.matV12",NA
"507","1_036_second","Run1","des.matV3",NA
"508","1_036_second","Run1","des.matV4",NA
"551","2_008_second","Run1","des.matV11",NA
"552","2_008_second","Run1","des.matV12",NA
"591","2_031_second","Run1","des.matV3",NA
"592","2_031_second","Run1","des.matV4",NA
"699","1_001_third","Run1","des.matV3",NA
"700","1_001_third","Run1","des.matV4",NA
"711","1_004_third","Run1","des.matV3",NA
"712","1_004_third","Run1","des.matV4",NA
"779","1_036_third","Run2","des.matV11",NA
"780","1_036_third","Run2","des.matV12",NA
"783","2_005_third","Run1","des.matV3",NA
"784","2_005_third","Run1","des.matV4",NA
"815","2_008_third","Run1","des.matV11",NA
"816","2_008_third","Run1","des.matV12",NA
"831","2_010_third","Run1","des.matV3",NA
"832","2_010_third","Run1","des.matV4",NA
"855","2_034_third","Run1","des.matV3",NA
"856","2_034_third","Run1","des.matV4",NA
"863","2_034_third","Run1","des.matV11",NA
"864","2_034_third","Run1","des.matV12",NA
"867","2_034_third","Run2","des.matV3",NA
"868","2_034_third","Run2","des.matV4",NA
"879","ldrc2_0_104","Run1","des.matV3",NA
"880","ldrc2_0_104","Run1","des.matV4",NA
"891","ldrc2_0_104","Run2","des.matV3",NA
"892","ldrc2_0_104","Run2","des.matV4",NA
"915","ldrc2_0_122","Run2","des.matV3",NA
"916","ldrc2_0_122","Run2","des.matV4",NA
"939","ldrc2_0_124","Run1","des.matV3",NA
"940","ldrc2_0_124","Run1","des.matV4",NA
"951","ldrc2_0_124","Run2","des.matV3",NA
"952","ldrc2_0_124","Run2","des.matV4",NA
"999","ldrc2_0_140","Run1","des.matV3",NA
"1000","ldrc2_0_140","Run1","des.matV4",NA
"1035","ldrc2_0_151","Run1","des.matV3",NA
"1036","ldrc2_0_151","Run1","des.matV4",NA
"1047","ldrc2_0_151","Run2","des.matV3",NA
"1048","ldrc2_0_151","Run2","des.matV4",NA
"1239","drc2_0_145_second","Run1","des.matV3",NA
"1240","drc2_0_145_second","Run1","des.matV4",NA
"1251","drc2_0_145_second","Run2","des.matV3",NA
"1252","drc2_0_145_second","Run2","des.matV4",NA
"1263","drc2_1_115_second","Run1","des.matV3",NA
"1264","drc2_1_115_second","Run1","des.matV4",NA
"1443","ldrc3_0_234","Run1","des.matV3",NA
"1444","ldrc3_0_234","Run1","des.matV4",NA
"1455","ldrc3_0_234","Run2","des.matV3",NA
"1456","ldrc3_0_234","Run2","des.matV4",NA
"1743","c_037","Run2","des.matV3",NA
"1744","c_037","Run2","des.matV4",NA
"1871","c_046","Run2","des.matV11",NA
"1872","c_046","Run2","des.matV12",NA
"1911","c_059","Run2","des.matV3",NA
"1912","c_059","Run2","des.matV4",NA
"1995","c_079","Run1","des.matV3",NA
"1996","c_079","Run1","des.matV4",NA
"2007","c_079","Run2","des.matV3",NA
"2008","c_079","Run2","des.matV4",NA
"2067","c_084","Run1","des.matV3",NA
"2068","c_084","Run1","des.matV4",NA
"2127","c_101","Run1","des.matV3",NA
"2128","c_101","Run1","des.matV4",NA
"2175","_c_185","Run1","des.matV3",NA
"2176","_c_185","Run1","des.matV4",NA
"2187","_c_185","Run2","des.matV3",NA
"2188","_c_185","Run2","des.matV4",NA
"2247","_c_198","Run1","des.matV3",NA
"2248","_c_198","Run1","des.matV4",NA
"2259","_c_198","Run2","des.matV3",NA
"2260","_c_198","Run2","des.matV4",NA
"2271","_c_203","Run1","des.matV3",NA
"2272","_c_203","Run1","des.matV4",NA
"2283","_c_203","Run2","des.matV3",NA
"2284","_c_203","Run2","des.matV4",NA
"2295","_c_221","Run1","des.matV3",NA
"2296","_c_221","Run1","des.matV4",NA
"2307","_c_221","Run2","des.matV3",NA
