"","subnum","runnum","vif","value"
"383","1_004_second","Run1","des.matV11",NA
"384","1_004_second","Run1","des.matV12",NA
"455","1_028_second","Run1","des.matV11",NA
"456","1_028_second","Run1","des.matV12",NA
"515","2_008_second","Run1","des.matV11",NA
"516","2_008_second","Run1","des.matV12",NA
"731","1_036_third","Run2","des.matV11",NA
"732","1_036_third","Run2","des.matV12",NA
"767","2_008_third","Run1","des.matV11",NA
"768","2_008_third","Run1","des.matV12",NA
"815","2_034_third","Run1","des.matV11",NA
"816","2_034_third","Run1","des.matV12",NA
"1859","c_046","Run2","des.matV11",NA
"1860","c_046","Run2","des.matV12",NA
"2303","8963_c_third","Run1","des.matV11",NA
"2304","8963_c_third","Run1","des.matV12",NA
