"","subnum","runnum","vif","value"
"419","1_004_second","Run1","des.matV11",NA
"420","1_004_second","Run1","des.matV12",NA
"491","1_028_second","Run1","des.matV11",NA
"492","1_028_second","Run1","des.matV12",NA
"551","2_008_second","Run1","des.matV11",NA
"552","2_008_second","Run1","des.matV12",NA
"779","1_036_third","Run2","des.matV11",NA
"780","1_036_third","Run2","des.matV12",NA
"815","2_008_third","Run1","des.matV11",NA
"816","2_008_third","Run1","des.matV12",NA
"863","2_034_third","Run1","des.matV11",NA
"864","2_034_third","Run1","des.matV12",NA
"1871","c_046","Run2","des.matV11",NA
"1872","c_046","Run2","des.matV12",NA
"2639","8963_c_third","Run1","des.matV11",NA
"2640","8963_c_third","Run1","des.matV12",NA
